,게임,캐릭터,가챠,스토리,개발자,과금,플레이,콘텐츠,번역,생각,재화,업데이트,이벤트,정도,확률,재미,운영,문제,말,서버,디펜스,피로도,시간,시작,최고,최적화,돈,필요,사람,모바일,부족,전략,접속,처음,계정,오류,추가,스테이지,화면,클리어,천장,출시,진행,마음,단점,리뷰,머리,시스템,추천,자체,감사,난이도,부분,매력,수정,다운로드,광고,삭제,해결,일러스트,요소,지능,평점,육성,느낌,이상,자동,장점,설치,기술,보상,레벨,한국,수급,전투,만족,인생,자원,사랑,유도,한정,로딩,이후,개선,소리,부탁,초반,뉴비,하루,콜라보레이션,개성,개인,이유,수집,사용,메인,리세마라,실행,일본,경우
시스템,100.0,67.0,61.0,47.0,12.0,41.0,31.0,26.0,10.0,30.0,27.0,6.0,19.0,25.0,24.0,13.0,16.0,22.0,19.0,5.0,15.0,14.0,15.0,21.0,6.0,1.0,7.0,24.0,15.0,7.0,14.0,8.0,5.0,9.0,4.0,4.0,12.0,21.0,4.0,21.0,15.0,14.0,11.0,11.0,21.0,14.0,12.0,0.0,8.0,11.0,6.0,12.0,13.0,13.0,2.0,3.0,2.0,6.0,2.0,10.0,13.0,5.0,3.0,16.0,14.0,11.0,19.0,16.0,1.0,9.0,7.0,15.0,2.0,13.0,20.0,7.0,6.0,12.0,0.0,11.0,9.0,5.0,2.0,7.0,1.0,5.0,13.0,10.0,2.0,1.0,9.0,12.0,7.0,11.0,7.0,5.0,4.0,1.0,0.0,9.0
추천,131.0,53.0,32.0,45.0,7.0,39.0,27.0,32.0,11.0,31.0,21.0,11.0,21.0,26.0,18.0,16.0,9.0,6.0,18.0,6.0,33.0,6.0,13.0,16.0,3.0,1.0,11.0,13.0,22.0,17.0,11.0,24.0,4.0,15.0,1.0,4.0,9.0,15.0,2.0,14.0,7.0,9.0,5.0,8.0,11.0,4.0,14.0,8.0,0.0,12.0,6.0,14.0,8.0,13.0,5.0,7.0,7.0,1.0,0.0,11.0,14.0,10.0,2.0,7.0,11.0,7.0,5.0,12.0,3.0,7.0,6.0,5.0,3.0,10.0,6.0,7.0,2.0,7.0,1.0,6.0,8.0,1.0,4.0,3.0,0.0,4.0,9.0,8.0,8.0,0.0,10.0,10.0,5.0,15.0,7.0,0.0,9.0,1.0,1.0,8.0
자체,145.0,51.0,41.0,51.0,12.0,35.0,35.0,27.0,20.0,41.0,27.0,11.0,12.0,30.0,22.0,20.0,18.0,20.0,23.0,9.0,18.0,11.0,14.0,10.0,3.0,2.0,13.0,18.0,11.0,9.0,12.0,11.0,7.0,11.0,7.0,7.0,6.0,8.0,9.0,10.0,9.0,7.0,11.0,10.0,16.0,8.0,8.0,11.0,12.0,0.0,3.0,12.0,19.0,8.0,3.0,6.0,3.0,6.0,5.0,10.0,11.0,9.0,9.0,6.0,12.0,9.0,6.0,9.0,1.0,8.0,3.0,8.0,5.0,13.0,6.0,7.0,7.0,6.0,1.0,3.0,6.0,6.0,6.0,4.0,3.0,4.0,7.0,4.0,6.0,2.0,9.0,9.0,7.0,7.0,7.0,6.0,0.0,6.0,3.0,6.0
감사,97.0,35.0,17.0,29.0,19.0,8.0,30.0,10.0,11.0,17.0,13.0,13.0,13.0,14.0,7.0,8.0,16.0,9.0,14.0,8.0,7.0,4.0,12.0,13.0,14.0,2.0,2.0,7.0,8.0,9.0,9.0,6.0,6.0,13.0,3.0,9.0,7.0,6.0,7.0,5.0,1.0,8.0,7.0,11.0,7.0,12.0,1.0,6.0,6.0,3.0,0.0,2.0,9.0,4.0,7.0,1.0,3.0,4.0,8.0,9.0,2.0,1.0,3.0,1.0,8.0,4.0,3.0,4.0,1.0,2.0,6.0,3.0,7.0,2.0,3.0,5.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,7.0,1.0,2.0,6.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
난이도,100.0,62.0,38.0,45.0,4.0,30.0,28.0,22.0,4.0,27.0,24.0,6.0,32.0,34.0,15.0,13.0,9.0,8.0,15.0,2.0,21.0,12.0,11.0,19.0,6.0,2.0,7.0,15.0,15.0,6.0,14.0,14.0,5.0,11.0,2.0,1.0,9.0,21.0,2.0,22.0,11.0,12.0,11.0,5.0,22.0,6.0,15.0,12.0,14.0,12.0,2.0,0.0,10.0,9.0,3.0,1.0,1.0,1.0,3.0,15.0,9.0,14.0,5.0,24.0,8.0,10.0,8.0,18.0,1.0,5.0,11.0,10.0,2.0,9.0,6.0,7.0,4.0,17.0,0.0,12.0,11.0,0.0,2.0,3.0,2.0,4.0,12.0,15.0,3.0,2.0,5.0,7.0,3.0,11.0,9.0,4.0,4.0,1.0,0.0,14.0
부분,118.0,61.0,33.0,59.0,16.0,26.0,35.0,24.0,23.0,39.0,21.0,13.0,25.0,27.0,9.0,14.0,21.0,25.0,17.0,9.0,19.0,7.0,11.0,16.0,2.0,4.0,9.0,9.0,17.0,15.0,15.0,11.0,6.0,11.0,3.0,8.0,10.0,7.0,6.0,8.0,7.0,7.0,14.0,11.0,15.0,10.0,9.0,13.0,8.0,19.0,9.0,10.0,0.0,19.0,15.0,1.0,3.0,1.0,5.0,8.0,17.0,5.0,5.0,11.0,16.0,9.0,7.0,11.0,0.0,11.0,6.0,9.0,9.0,10.0,4.0,12.0,4.0,5.0,2.0,7.0,9.0,3.0,5.0,18.0,3.0,4.0,6.0,3.0,4.0,0.0,9.0,11.0,3.0,8.0,5.0,6.0,3.0,2.0,3.0,8.0
매력,118.0,118.0,38.0,77.0,14.0,31.0,32.0,30.0,9.0,41.0,22.0,7.0,21.0,30.0,11.0,12.0,17.0,10.0,12.0,8.0,17.0,4.0,10.0,14.0,12.0,1.0,7.0,10.0,18.0,5.0,10.0,20.0,2.0,10.0,0.0,2.0,6.0,13.0,3.0,15.0,4.0,13.0,12.0,7.0,11.0,7.0,9.0,13.0,13.0,8.0,4.0,9.0,19.0,0.0,5.0,2.0,2.0,0.0,3.0,16.0,12.0,6.0,4.0,12.0,7.0,6.0,3.0,10.0,0.0,5.0,3.0,3.0,6.0,14.0,7.0,9.0,8.0,5.0,6.0,9.0,3.0,1.0,5.0,7.0,4.0,1.0,7.0,6.0,2.0,0.0,14.0,10.0,5.0,11.0,3.0,6.0,0.0,1.0,2.0,7.0
수정,64.0,24.0,14.0,16.0,7.0,11.0,20.0,13.0,45.0,23.0,12.0,17.0,15.0,19.0,6.0,9.0,21.0,19.0,15.0,10.0,4.0,1.0,5.0,10.0,1.0,2.0,13.0,4.0,5.0,9.0,4.0,6.0,3.0,7.0,3.0,33.0,3.0,2.0,3.0,3.0,3.0,13.0,6.0,1.0,3.0,13.0,2.0,2.0,5.0,3.0,7.0,3.0,15.0,5.0,0.0,1.0,7.0,6.0,4.0,5.0,4.0,0.0,10.0,0.0,3.0,5.0,0.0,4.0,1.0,12.0,8.0,2.0,8.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,7.0,7.0,2.0,15.0,1.0,0.0,1.0,10.0,3.0,7.0,8.0,1.0,3.0,2.0,1.0,0.0,3.0,6.0
다운로드,53.0,8.0,9.0,7.0,9.0,2.0,20.0,4.0,2.0,6.0,1.0,32.0,3.0,3.0,3.0,2.0,4.0,10.0,4.0,6.0,3.0,0.0,4.0,5.0,3.0,0.0,4.0,3.0,6.0,4.0,9.0,4.0,9.0,10.0,2.0,9.0,10.0,0.0,10.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,7.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,10.0,6.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,16.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,6.0,0.0,2.0
광고,60.0,15.0,11.0,11.0,3.0,10.0,10.0,7.0,16.0,14.0,2.0,2.0,11.0,9.0,3.0,3.0,9.0,8.0,8.0,5.0,5.0,1.0,4.0,7.0,1.0,1.0,8.0,3.0,10.0,9.0,4.0,4.0,2.0,9.0,2.0,6.0,0.0,1.0,3.0,1.0,2.0,5.0,3.0,5.0,3.0,12.0,1.0,2.0,7.0,3.0,3.0,1.0,3.0,2.0,7.0,6.0,0.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,7.0,0.0,5.0,2.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,5.0,2.0,0.0,2.0,5.0,5.0,1.0,1.0,3.0,1.0,7.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0
삭제,60.0,9.0,19.0,8.0,12.0,4.0,17.0,9.0,4.0,8.0,4.0,25.0,7.0,11.0,11.0,6.0,4.0,14.0,5.0,9.0,1.0,0.0,8.0,10.0,0.0,1.0,8.0,5.0,7.0,10.0,3.0,3.0,22.0,3.0,10.0,7.0,5.0,1.0,10.0,0.0,5.0,8.0,7.0,3.0,0.0,27.0,2.0,6.0,1.0,6.0,4.0,1.0,1.0,0.0,6.0,10.0,4.0,0.0,19.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,2.0,0.0,36.0,2.0,3.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,2.0,1.0,9.0,1.0,5.0
해결,69.0,14.0,8.0,8.0,6.0,8.0,22.0,6.0,23.0,9.0,7.0,25.0,15.0,12.0,2.0,2.0,10.0,52.0,4.0,11.0,2.0,3.0,6.0,7.0,1.0,5.0,3.0,7.0,3.0,9.0,2.0,2.0,27.0,5.0,7.0,22.0,7.0,4.0,16.0,5.0,0.0,3.0,11.0,4.0,1.0,11.0,3.0,2.0,0.0,5.0,8.0,3.0,5.0,3.0,4.0,6.0,3.0,19.0,0.0,2.0,0.0,1.0,6.0,3.0,1.0,6.0,1.0,0.0,22.0,2.0,2.0,0.0,4.0,2.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,14.0,10.0,3.0,2.0,17.0,0.0,2.0,2.0,6.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,12.0,1.0,4.0
일러스트,97.0,75.0,34.0,60.0,15.0,22.0,19.0,24.0,4.0,23.0,20.0,6.0,21.0,28.0,12.0,18.0,10.0,10.0,11.0,6.0,15.0,3.0,11.0,12.0,7.0,2.0,9.0,13.0,13.0,11.0,11.0,14.0,3.0,7.0,3.0,2.0,6.0,9.0,4.0,9.0,6.0,11.0,8.0,11.0,14.0,5.0,5.0,10.0,11.0,10.0,9.0,15.0,8.0,16.0,5.0,1.0,3.0,0.0,2.0,0.0,11.0,2.0,1.0,11.0,11.0,4.0,5.0,12.0,1.0,11.0,3.0,5.0,4.0,7.0,5.0,6.0,3.0,8.0,2.0,6.0,5.0,2.0,4.0,6.0,2.0,2.0,4.0,4.0,3.0,2.0,14.0,7.0,5.0,8.0,3.0,9.0,5.0,0.0,2.0,8.0
요소,98.0,59.0,29.0,57.0,6.0,51.0,30.0,22.0,7.0,26.0,18.0,9.0,24.0,18.0,10.0,21.0,12.0,10.0,7.0,11.0,21.0,7.0,14.0,7.0,8.0,5.0,11.0,18.0,17.0,7.0,12.0,17.0,3.0,8.0,2.0,2.0,4.0,11.0,1.0,15.0,7.0,12.0,9.0,7.0,14.0,3.0,6.0,13.0,14.0,11.0,2.0,9.0,17.0,12.0,4.0,2.0,2.0,1.0,0.0,11.0,0.0,6.0,5.0,12.0,4.0,8.0,6.0,15.0,1.0,10.0,5.0,3.0,7.0,9.0,7.0,5.0,3.0,4.0,2.0,7.0,6.0,2.0,8.0,5.0,1.0,4.0,4.0,3.0,2.0,2.0,7.0,11.0,7.0,10.0,5.0,7.0,2.0,0.0,1.0,6.0
지능,93.0,31.0,18.0,19.0,0.0,37.0,22.0,11.0,3.0,16.0,15.0,3.0,19.0,14.0,3.0,15.0,4.0,10.0,10.0,7.0,16.0,15.0,15.0,8.0,4.0,2.0,8.0,13.0,13.0,6.0,17.0,9.0,2.0,11.0,1.0,3.0,3.0,15.0,1.0,16.0,2.0,3.0,6.0,6.0,15.0,4.0,9.0,5.0,10.0,9.0,1.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,8.0,6.0,6.0,4.0,8.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,4.0,1.0,5.0,0.0,9.0,6.0,0.0,1.0,1.0,2.0,1.0,10.0,9.0,1.0,0.0,4.0,3.0,4.0,3.0,6.0,2.0,3.0,0.0,1.0,4.0
평점,66.0,15.0,21.0,19.0,7.0,5.0,15.0,10.0,30.0,17.0,9.0,10.0,19.0,14.0,7.0,4.0,22.0,28.0,12.0,8.0,6.0,2.0,6.0,13.0,3.0,0.0,10.0,6.0,7.0,4.0,1.0,2.0,3.0,7.0,1.0,7.0,4.0,2.0,0.0,3.0,5.0,3.0,6.0,3.0,3.0,8.0,2.0,3.0,2.0,9.0,3.0,5.0,5.0,4.0,10.0,0.0,1.0,4.0,6.0,1.0,5.0,1.0,0.0,3.0,5.0,5.0,1.0,3.0,0.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,7.0,1.0,9.0,9.0,3.0,0.0,2.0,4.0,0.0,1.0,1.0
육성,84.0,61.0,33.0,34.0,7.0,26.0,24.0,30.0,3.0,30.0,40.0,6.0,23.0,23.0,12.0,16.0,10.0,15.0,8.0,4.0,24.0,14.0,19.0,17.0,6.0,2.0,8.0,16.0,15.0,8.0,19.0,18.0,3.0,5.0,1.0,1.0,7.0,21.0,0.0,15.0,9.0,8.0,7.0,4.0,15.0,6.0,16.0,16.0,7.0,6.0,1.0,24.0,11.0,12.0,0.0,1.0,0.0,2.0,3.0,11.0,12.0,8.0,3.0,0.0,12.0,7.0,8.0,11.0,0.0,9.0,6.0,9.0,1.0,13.0,3.0,7.0,2.0,24.0,1.0,10.0,9.0,2.0,3.0,4.0,1.0,2.0,11.0,5.0,3.0,2.0,3.0,8.0,2.0,10.0,5.0,6.0,2.0,0.0,1.0,9.0
느낌,105.0,51.0,35.0,47.0,14.0,28.0,25.0,25.0,6.0,33.0,25.0,5.0,18.0,25.0,14.0,12.0,15.0,11.0,26.0,7.0,14.0,9.0,13.0,17.0,3.0,2.0,13.0,12.0,17.0,9.0,16.0,13.0,2.0,10.0,1.0,5.0,6.0,6.0,3.0,8.0,11.0,10.0,14.0,11.0,18.0,5.0,7.0,14.0,11.0,12.0,8.0,8.0,16.0,7.0,3.0,3.0,6.0,4.0,1.0,11.0,4.0,6.0,5.0,12.0,0.0,6.0,6.0,12.0,3.0,3.0,4.0,6.0,6.0,7.0,10.0,4.0,2.0,7.0,3.0,8.0,7.0,1.0,3.0,5.0,1.0,0.0,10.0,9.0,2.0,2.0,11.0,6.0,5.0,5.0,4.0,8.0,5.0,1.0,5.0,5.0
이상,102.0,46.0,25.0,33.0,8.0,26.0,25.0,26.0,10.0,23.0,20.0,10.0,22.0,29.0,12.0,16.0,11.0,19.0,18.0,4.0,12.0,13.0,17.0,9.0,7.0,1.0,16.0,25.0,7.0,12.0,19.0,10.0,13.0,11.0,4.0,6.0,8.0,15.0,2.0,19.0,8.0,15.0,13.0,5.0,15.0,3.0,4.0,11.0,7.0,9.0,4.0,10.0,9.0,6.0,5.0,4.0,1.0,5.0,6.0,4.0,8.0,6.0,5.0,7.0,6.0,0.0,4.0,15.0,2.0,11.0,5.0,8.0,4.0,8.0,4.0,7.0,1.0,13.0,1.0,8.0,9.0,2.0,3.0,5.0,4.0,2.0,8.0,4.0,11.0,1.0,6.0,5.0,3.0,3.0,10.0,7.0,4.0,1.0,2.0,5.0
자동,82.0,41.0,26.0,28.0,5.0,12.0,22.0,18.0,2.0,21.0,22.0,9.0,17.0,21.0,15.0,13.0,6.0,10.0,5.0,1.0,15.0,10.0,14.0,13.0,5.0,1.0,5.0,18.0,9.0,8.0,6.0,15.0,1.0,11.0,0.0,3.0,11.0,17.0,3.0,13.0,3.0,5.0,11.0,4.0,17.0,4.0,6.0,19.0,5.0,6.0,3.0,8.0,7.0,3.0,0.0,0.0,0.0,2.0,1.0,5.0,6.0,4.0,1.0,8.0,6.0,4.0,0.0,11.0,1.0,16.0,3.0,5.0,1.0,8.0,31.0,4.0,2.0,14.0,0.0,4.0,5.0,2.0,2.0,6.0,0.0,4.0,7.0,4.0,5.0,0.0,2.0,7.0,2.0,5.0,4.0,7.0,2.0,2.0,1.0,10.0
장점,101.0,66.0,39.0,58.0,4.0,36.0,31.0,39.0,6.0,31.0,38.0,8.0,25.0,30.0,20.0,17.0,11.0,15.0,17.0,6.0,10.0,18.0,17.0,11.0,11.0,3.0,8.0,20.0,15.0,9.0,23.0,14.0,3.0,4.0,2.0,5.0,6.0,21.0,2.0,25.0,11.0,15.0,13.0,8.0,74.0,6.0,11.0,16.0,12.0,9.0,4.0,18.0,11.0,10.0,4.0,0.0,1.0,0.0,0.0,12.0,15.0,8.0,3.0,11.0,12.0,15.0,11.0,0.0,2.0,11.0,6.0,8.0,5.0,15.0,13.0,4.0,0.0,12.0,1.0,9.0,12.0,0.0,5.0,8.0,2.0,2.0,11.0,8.0,4.0,2.0,12.0,5.0,6.0,8.0,9.0,12.0,5.0,1.0,3.0,8.0
설치,55.0,9.0,2.0,4.0,2.0,5.0,16.0,1.0,1.0,5.0,0.0,26.0,4.0,4.0,0.0,1.0,1.0,9.0,4.0,4.0,2.0,0.0,8.0,11.0,2.0,1.0,1.0,3.0,9.0,8.0,2.0,2.0,17.0,9.0,7.0,9.0,8.0,0.0,23.0,0.0,0.0,6.0,2.0,1.0,3.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0,7.0,36.0,22.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,13.0,1.0,2.0,7.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,1.0,17.0,2.0,2.0
기술,61.0,54.0,23.0,35.0,9.0,14.0,21.0,30.0,10.0,25.0,22.0,7.0,18.0,23.0,13.0,10.0,5.0,13.0,14.0,5.0,11.0,6.0,8.0,12.0,4.0,0.0,8.0,16.0,11.0,2.0,11.0,12.0,1.0,6.0,3.0,8.0,7.0,7.0,2.0,10.0,4.0,7.0,6.0,5.0,9.0,6.0,8.0,9.0,7.0,8.0,2.0,5.0,11.0,5.0,12.0,1.0,0.0,2.0,2.0,11.0,10.0,2.0,1.0,9.0,3.0,11.0,16.0,11.0,0.0,0.0,7.0,13.0,4.0,9.0,7.0,4.0,0.0,10.0,0.0,4.0,7.0,1.0,0.0,8.0,1.0,3.0,7.0,1.0,6.0,0.0,5.0,7.0,5.0,2.0,9.0,9.0,5.0,1.0,0.0,11.0
보상,67.0,25.0,23.0,28.0,6.0,18.0,24.0,20.0,9.0,20.0,19.0,10.0,29.0,18.0,13.0,6.0,14.0,7.0,13.0,13.0,4.0,13.0,13.0,15.0,0.0,0.0,10.0,10.0,9.0,8.0,16.0,6.0,5.0,3.0,3.0,8.0,9.0,11.0,1.0,10.0,4.0,9.0,13.0,5.0,9.0,5.0,7.0,7.0,6.0,3.0,6.0,11.0,6.0,3.0,8.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,6.0,4.0,5.0,3.0,6.0,0.0,7.0,0.0,7.0,5.0,6.0,5.0,5.0,0.0,10.0,1.0,6.0,5.0,2.0,5.0,10.0,2.0,6.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,7.0
레벨,59.0,38.0,26.0,24.0,5.0,22.0,9.0,20.0,2.0,16.0,24.0,3.0,13.0,19.0,10.0,7.0,5.0,7.0,15.0,4.0,10.0,14.0,11.0,12.0,6.0,1.0,5.0,14.0,12.0,3.0,19.0,7.0,5.0,8.0,4.0,2.0,9.0,14.0,4.0,10.0,6.0,3.0,9.0,3.0,13.0,4.0,7.0,15.0,5.0,8.0,3.0,10.0,9.0,3.0,2.0,2.0,2.0,0.0,0.0,5.0,3.0,5.0,1.0,9.0,6.0,8.0,5.0,8.0,0.0,13.0,7.0,0.0,2.0,7.0,12.0,5.0,0.0,14.0,1.0,8.0,8.0,0.0,2.0,4.0,0.0,3.0,9.0,9.0,4.0,0.0,2.0,4.0,3.0,5.0,4.0,8.0,2.0,1.0,1.0,11.0
한국,74.0,22.0,9.0,20.0,9.0,16.0,19.0,15.0,22.0,17.0,10.0,4.0,12.0,11.0,8.0,6.0,23.0,8.0,10.0,40.0,6.0,1.0,3.0,4.0,3.0,1.0,15.0,5.0,11.0,12.0,6.0,4.0,0.0,7.0,3.0,8.0,5.0,4.0,1.0,6.0,1.0,9.0,10.0,5.0,8.0,6.0,1.0,2.0,3.0,5.0,7.0,2.0,9.0,6.0,8.0,2.0,5.0,4.0,4.0,4.0,7.0,2.0,3.0,1.0,6.0,4.0,1.0,5.0,0.0,4.0,5.0,2.0,0.0,1.0,3.0,6.0,1.0,0.0,5.0,4.0,1.0,0.0,2.0,6.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0,6.0,3.0,1.0,0.0,21.0,4.0
