,게임,스토리,번역,캐릭터,과금,업데이트,플레이,생각,문제,정도,재미,가챠,이벤트,오역,시간,운영,시작,로딩,오류,확률,사람,돈,진행,최고,부족,처음,재화,전투,자체,접속,디펜스,필요,스타,모바일,다운로드,부분,붕괴,시스템,난이도,단점,스테이지,수정,개선,이성,추천,기대,해결,광고,계정,추가,화면,수준,이해,느낌,초반,이상,출시,지금,보상,전략,이번,오픈,삭제,리뷰,레벨,버스,감사,매력,이후,요소,그래픽,유도,장점,메인,제가,설치,버전,스킵,육성,최적화,만족,로그인,회사,디자인,머리,부탁,마음,이건,자동,지능,별점,불편,복귀,하루,조작,사용,이랑,신경,몰입,한국
광고,117.0,26.0,19.0,24.0,13.0,8.0,17.0,21.0,17.0,16.0,8.0,21.0,9.0,6.0,10.0,17.0,16.0,6.0,9.0,8.0,15.0,13.0,5.0,2.0,8.0,13.0,8.0,8.0,5.0,7.0,5.0,4.0,6.0,9.0,9.0,4.0,7.0,4.0,3.0,3.0,2.0,9.0,7.0,1.0,10.0,10.0,8.0,0.0,6.0,1.0,2.0,2.0,6.0,11.0,4.0,5.0,11.0,7.0,6.0,5.0,3.0,4.0,6.0,14.0,3.0,4.0,5.0,2.0,5.0,1.0,6.0,6.0,0.0,2.0,8.0,8.0,2.0,3.0,1.0,3.0,5.0,1.0,8.0,0.0,1.0,2.0,8.0,7.0,4.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,6.0,6.0,3.0,4.0
계정,70.0,11.0,4.0,14.0,14.0,14.0,19.0,15.0,17.0,14.0,8.0,11.0,7.0,1.0,11.0,6.0,19.0,7.0,6.0,9.0,9.0,13.0,9.0,1.0,2.0,7.0,7.0,2.0,10.0,19.0,2.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,0.0,7.0,3.0,2.0,1.0,3.0,1.0,12.0,6.0,0.0,5.0,8.0,1.0,0.0,2.0,3.0,12.0,2.0,8.0,5.0,0.0,6.0,7.0,23.0,5.0,5.0,2.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,16.0,11.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,0.0,4.0,7.0,5.0,2.0,2.0,1.0,2.0,6.0,15.0,1.0,2.0,17.0,2.0,0.0,1.0,1.0
추가,126.0,76.0,29.0,55.0,25.0,34.0,30.0,33.0,28.0,26.0,16.0,14.0,36.0,10.0,22.0,14.0,16.0,5.0,11.0,10.0,9.0,11.0,19.0,9.0,23.0,15.0,15.0,15.0,8.0,9.0,8.0,18.0,8.0,9.0,24.0,12.0,9.0,21.0,13.0,17.0,11.0,5.0,15.0,8.0,8.0,11.0,11.0,1.0,5.0,0.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,16.0,9.0,10.0,19.0,9.0,5.0,6.0,13.0,5.0,11.0,6.0,9.0,5.0,7.0,7.0,14.0,8.0,3.0,11.0,12.0,8.0,5.0,9.0,8.0,1.0,3.0,5.0,8.0,10.0,5.0,4.0,12.0,4.0,8.0,10.0,7.0,4.0,1.0,8.0,5.0,8.0,2.0,7.0
화면,129.0,36.0,1.0,27.0,9.0,41.0,26.0,20.0,24.0,13.0,8.0,20.0,15.0,0.0,28.0,2.0,28.0,65.0,28.0,9.0,7.0,0.0,16.0,3.0,7.0,16.0,3.0,27.0,11.0,26.0,5.0,5.0,6.0,6.0,20.0,20.0,4.0,7.0,2.0,11.0,7.0,8.0,10.0,0.0,7.0,4.0,16.0,2.0,8.0,9.0,0.0,0.0,1.0,3.0,3.0,8.0,3.0,4.0,6.0,2.0,9.0,2.0,14.0,11.0,2.0,1.0,12.0,2.0,22.0,3.0,7.0,1.0,12.0,15.0,4.0,25.0,3.0,2.0,0.0,20.0,5.0,20.0,1.0,1.0,3.0,14.0,6.0,2.0,2.0,1.0,0.0,14.0,6.0,2.0,4.0,7.0,7.0,3.0,0.0,1.0
수준,158.0,106.0,125.0,74.0,31.0,32.0,28.0,32.0,41.0,55.0,8.0,13.0,20.0,53.0,18.0,13.0,9.0,4.0,12.0,9.0,18.0,19.0,23.0,6.0,24.0,10.0,15.0,13.0,24.0,3.0,9.0,14.0,15.0,18.0,5.0,14.0,11.0,10.0,9.0,16.0,14.0,17.0,12.0,4.0,13.0,16.0,10.0,2.0,1.0,10.0,0.0,0.0,27.0,14.0,13.0,14.0,13.0,10.0,7.0,4.0,9.0,14.0,0.0,6.0,10.0,10.0,3.0,10.0,10.0,13.0,8.0,5.0,10.0,13.0,1.0,2.0,15.0,2.0,8.0,6.0,12.0,0.0,13.0,14.0,5.0,6.0,6.0,8.0,2.0,3.0,6.0,5.0,2.0,3.0,6.0,5.0,4.0,7.0,18.0,15.0
이해,166.0,162.0,121.0,79.0,26.0,17.0,37.0,49.0,52.0,73.0,10.0,12.0,18.0,67.0,17.0,14.0,14.0,2.0,15.0,8.0,24.0,16.0,25.0,5.0,28.0,12.0,11.0,11.0,32.0,2.0,5.0,12.0,17.0,9.0,6.0,31.0,21.0,11.0,10.0,17.0,3.0,14.0,10.0,3.0,5.0,21.0,13.0,6.0,0.0,9.0,1.0,27.0,0.0,10.0,18.0,16.0,8.0,14.0,7.0,5.0,14.0,9.0,2.0,8.0,3.0,19.0,4.0,11.0,8.0,10.0,4.0,3.0,12.0,13.0,7.0,4.0,10.0,2.0,11.0,4.0,10.0,1.0,12.0,6.0,6.0,2.0,8.0,9.0,5.0,1.0,10.0,9.0,1.0,6.0,8.0,6.0,6.0,10.0,15.0,14.0
느낌,186.0,105.0,31.0,88.0,38.0,20.0,47.0,54.0,33.0,42.0,26.0,25.0,29.0,21.0,27.0,15.0,27.0,8.0,5.0,19.0,29.0,15.0,21.0,4.0,34.0,20.0,26.0,27.0,16.0,7.0,15.0,18.0,15.0,15.0,6.0,25.0,26.0,14.0,14.0,21.0,13.0,6.0,16.0,9.0,14.0,19.0,7.0,11.0,2.0,9.0,3.0,14.0,10.0,0.0,30.0,14.0,11.0,15.0,5.0,14.0,13.0,16.0,6.0,10.0,11.0,11.0,8.0,21.0,15.0,13.0,13.0,11.0,18.0,17.0,10.0,2.0,13.0,7.0,16.0,9.0,8.0,2.0,5.0,15.0,8.0,3.0,15.0,15.0,8.0,6.0,2.0,9.0,6.0,2.0,6.0,7.0,7.0,7.0,7.0,7.0
초반,163.0,108.0,18.0,71.0,38.0,13.0,32.0,45.0,29.0,42.0,33.0,33.0,32.0,12.0,27.0,17.0,21.0,7.0,4.0,11.0,21.0,12.0,27.0,7.0,22.0,20.0,21.0,26.0,14.0,7.0,9.0,18.0,11.0,10.0,2.0,26.0,19.0,17.0,24.0,22.0,13.0,7.0,13.0,14.0,18.0,15.0,5.0,4.0,3.0,9.0,3.0,13.0,18.0,30.0,0.0,18.0,16.0,6.0,9.0,7.0,7.0,15.0,3.0,7.0,22.0,9.0,4.0,17.0,9.0,12.0,19.0,3.0,17.0,19.0,8.0,1.0,6.0,9.0,14.0,4.0,5.0,2.0,3.0,10.0,10.0,5.0,7.0,12.0,13.0,9.0,2.0,6.0,5.0,9.0,2.0,5.0,8.0,7.0,9.0,2.0
이상,172.0,77.0,32.0,70.0,57.0,22.0,36.0,42.0,38.0,48.0,28.0,28.0,33.0,15.0,45.0,24.0,29.0,9.0,15.0,23.0,22.0,26.0,28.0,12.0,26.0,13.0,22.0,16.0,18.0,22.0,12.0,29.0,21.0,11.0,12.0,15.0,8.0,19.0,20.0,20.0,23.0,11.0,12.0,13.0,13.0,18.0,9.0,5.0,12.0,10.0,8.0,14.0,16.0,14.0,18.0,0.0,14.0,24.0,11.0,11.0,21.0,15.0,7.0,8.0,17.0,11.0,9.0,10.0,14.0,14.0,9.0,11.0,19.0,16.0,8.0,5.0,7.0,4.0,13.0,10.0,8.0,3.0,7.0,7.0,4.0,6.0,9.0,7.0,4.0,5.0,4.0,9.0,5.0,16.0,6.0,12.0,8.0,9.0,8.0,6.0
출시,167.0,80.0,23.0,69.0,31.0,24.0,40.0,46.0,30.0,44.0,17.0,23.0,41.0,11.0,27.0,20.0,29.0,10.0,10.0,14.0,30.0,19.0,21.0,3.0,17.0,26.0,17.0,15.0,15.0,10.0,6.0,13.0,13.0,17.0,3.0,15.0,10.0,16.0,19.0,13.0,10.0,9.0,15.0,3.0,9.0,20.0,13.0,11.0,2.0,12.0,3.0,13.0,8.0,11.0,16.0,14.0,0.0,16.0,18.0,10.0,15.0,14.0,4.0,11.0,11.0,5.0,4.0,9.0,9.0,11.0,14.0,8.0,14.0,10.0,10.0,4.0,16.0,5.0,8.0,6.0,7.0,5.0,5.0,14.0,6.0,0.0,10.0,6.0,2.0,1.0,6.0,5.0,11.0,7.0,1.0,6.0,7.0,13.0,7.0,8.0
지금,193.0,81.0,48.0,58.0,30.0,35.0,52.0,54.0,49.0,42.0,19.0,21.0,39.0,19.0,29.0,30.0,39.0,11.0,14.0,21.0,29.0,18.0,22.0,14.0,15.0,27.0,16.0,5.0,15.0,8.0,12.0,13.0,11.0,22.0,5.0,16.0,4.0,15.0,14.0,16.0,8.0,14.0,17.0,3.0,19.0,16.0,14.0,7.0,8.0,16.0,4.0,10.0,14.0,15.0,6.0,24.0,16.0,0.0,17.0,9.0,10.0,35.0,7.0,12.0,5.0,10.0,14.0,13.0,10.0,6.0,4.0,7.0,14.0,10.0,12.0,5.0,12.0,4.0,8.0,4.0,10.0,4.0,8.0,3.0,6.0,6.0,14.0,7.0,6.0,5.0,14.0,11.0,7.0,7.0,6.0,2.0,11.0,13.0,5.0,4.0
보상,129.0,70.0,11.0,50.0,40.0,19.0,39.0,36.0,18.0,37.0,10.0,29.0,57.0,2.0,32.0,16.0,23.0,9.0,20.0,15.0,20.0,25.0,22.0,4.0,22.0,10.0,20.0,13.0,11.0,12.0,4.0,17.0,6.0,7.0,3.0,10.0,6.0,14.0,19.0,18.0,21.0,10.0,13.0,13.0,10.0,9.0,9.0,6.0,5.0,9.0,6.0,7.0,7.0,5.0,9.0,11.0,18.0,17.0,0.0,7.0,6.0,5.0,3.0,5.0,18.0,3.0,7.0,8.0,12.0,7.0,8.0,10.0,11.0,9.0,15.0,2.0,2.0,6.0,4.0,5.0,8.0,3.0,5.0,6.0,8.0,7.0,6.0,6.0,3.0,4.0,3.0,4.0,14.0,7.0,6.0,7.0,8.0,4.0,6.0,3.0
전략,176.0,50.0,10.0,80.0,43.0,11.0,51.0,40.0,10.0,24.0,32.0,12.0,21.0,3.0,18.0,15.0,14.0,3.0,2.0,10.0,20.0,9.0,19.0,18.0,27.0,12.0,15.0,17.0,9.0,6.0,48.0,22.0,3.0,15.0,5.0,17.0,9.0,9.0,18.0,22.0,28.0,6.0,7.0,14.0,27.0,10.0,5.0,5.0,0.0,10.0,2.0,4.0,5.0,14.0,7.0,11.0,10.0,9.0,7.0,0.0,1.0,9.0,2.0,7.0,10.0,5.0,5.0,20.0,3.0,20.0,8.0,13.0,20.0,6.0,5.0,3.0,2.0,5.0,20.0,5.0,9.0,0.0,4.0,10.0,22.0,1.0,14.0,4.0,10.0,8.0,3.0,5.0,3.0,7.0,12.0,9.0,5.0,4.0,7.0,5.0
이번,135.0,81.0,33.0,42.0,21.0,74.0,34.0,46.0,33.0,41.0,10.0,25.0,37.0,23.0,16.0,17.0,19.0,12.0,14.0,16.0,15.0,17.0,19.0,4.0,16.0,12.0,15.0,9.0,9.0,13.0,1.0,11.0,20.0,8.0,7.0,12.0,14.0,4.0,7.0,10.0,6.0,9.0,15.0,3.0,4.0,19.0,12.0,3.0,6.0,19.0,9.0,9.0,14.0,13.0,7.0,21.0,15.0,10.0,6.0,1.0,0.0,11.0,10.0,11.0,6.0,11.0,14.0,7.0,33.0,5.0,1.0,5.0,4.0,8.0,8.0,10.0,12.0,1.0,4.0,6.0,12.0,5.0,10.0,3.0,2.0,4.0,14.0,10.0,1.0,2.0,6.0,5.0,11.0,2.0,2.0,7.0,3.0,5.0,4.0,14.0
오픈,175.0,76.0,43.0,63.0,44.0,19.0,30.0,47.0,33.0,43.0,19.0,25.0,33.0,18.0,23.0,19.0,41.0,4.0,12.0,14.0,33.0,21.0,20.0,7.0,16.0,18.0,15.0,19.0,13.0,12.0,14.0,13.0,17.0,20.0,3.0,19.0,17.0,20.0,13.0,17.0,8.0,13.0,15.0,2.0,14.0,14.0,12.0,4.0,7.0,9.0,2.0,14.0,9.0,16.0,15.0,15.0,14.0,35.0,5.0,9.0,11.0,0.0,5.0,19.0,7.0,9.0,5.0,18.0,19.0,11.0,7.0,8.0,15.0,18.0,10.0,4.0,15.0,5.0,7.0,4.0,12.0,1.0,8.0,11.0,5.0,5.0,7.0,8.0,7.0,4.0,3.0,11.0,7.0,9.0,5.0,9.0,6.0,7.0,11.0,5.0
삭제,103.0,35.0,6.0,26.0,12.0,33.0,25.0,19.0,18.0,19.0,15.0,14.0,16.0,3.0,22.0,6.0,25.0,20.0,11.0,8.0,15.0,10.0,17.0,1.0,4.0,10.0,5.0,11.0,14.0,22.0,1.0,7.0,4.0,3.0,23.0,2.0,6.0,8.0,2.0,2.0,5.0,8.0,3.0,0.0,3.0,6.0,22.0,6.0,23.0,5.0,14.0,0.0,2.0,6.0,3.0,7.0,4.0,7.0,3.0,2.0,10.0,5.0,0.0,28.0,5.0,1.0,6.0,3.0,13.0,3.0,1.0,2.0,2.0,3.0,7.0,39.0,3.0,10.0,3.0,4.0,1.0,6.0,0.0,1.0,2.0,3.0,3.0,5.0,8.0,0.0,3.0,5.0,11.0,7.0,4.0,6.0,6.0,4.0,1.0,5.0
리뷰,144.0,44.0,24.0,41.0,33.0,21.0,31.0,32.0,24.0,30.0,12.0,23.0,14.0,11.0,22.0,19.0,22.0,14.0,8.0,11.0,23.0,17.0,10.0,4.0,13.0,14.0,13.0,7.0,15.0,10.0,8.0,8.0,8.0,8.0,6.0,12.0,6.0,21.0,8.0,13.0,12.0,25.0,7.0,5.0,7.0,15.0,11.0,14.0,5.0,6.0,11.0,6.0,8.0,10.0,7.0,8.0,11.0,12.0,5.0,7.0,11.0,19.0,28.0,0.0,3.0,4.0,12.0,7.0,15.0,5.0,6.0,12.0,10.0,3.0,21.0,10.0,7.0,2.0,8.0,1.0,9.0,2.0,3.0,5.0,7.0,10.0,6.0,9.0,5.0,5.0,6.0,5.0,3.0,6.0,7.0,12.0,10.0,8.0,4.0,5.0
레벨,111.0,73.0,6.0,60.0,48.0,9.0,20.0,27.0,16.0,39.0,22.0,30.0,24.0,2.0,24.0,7.0,17.0,6.0,8.0,17.0,16.0,12.0,30.0,8.0,18.0,16.0,25.0,22.0,14.0,6.0,10.0,20.0,12.0,9.0,4.0,18.0,8.0,20.0,26.0,23.0,14.0,5.0,10.0,14.0,10.0,9.0,8.0,3.0,5.0,13.0,2.0,10.0,3.0,11.0,22.0,17.0,11.0,5.0,18.0,10.0,6.0,7.0,5.0,3.0,0.0,5.0,5.0,6.0,8.0,8.0,7.0,12.0,13.0,17.0,14.0,0.0,3.0,8.0,13.0,2.0,7.0,1.0,5.0,11.0,8.0,5.0,4.0,8.0,9.0,6.0,2.0,8.0,9.0,3.0,5.0,9.0,5.0,4.0,4.0,0.0
버스,115.0,58.0,41.0,52.0,10.0,12.0,20.0,30.0,15.0,30.0,9.0,10.0,3.0,25.0,6.0,10.0,9.0,1.0,4.0,4.0,18.0,13.0,3.0,8.0,9.0,4.0,6.0,12.0,18.0,0.0,0.0,6.0,21.0,6.0,2.0,11.0,19.0,4.0,1.0,11.0,3.0,2.0,7.0,1.0,11.0,15.0,6.0,4.0,2.0,5.0,1.0,10.0,19.0,11.0,9.0,11.0,5.0,10.0,3.0,5.0,11.0,9.0,1.0,4.0,5.0,0.0,9.0,12.0,2.0,6.0,9.0,3.0,10.0,7.0,7.0,1.0,6.0,1.0,2.0,2.0,5.0,1.0,10.0,9.0,0.0,3.0,5.0,6.0,2.0,0.0,4.0,5.0,2.0,4.0,2.0,4.0,7.0,4.0,8.0,6.0
감사,124.0,43.0,21.0,34.0,16.0,22.0,28.0,20.0,20.0,14.0,13.0,17.0,21.0,9.0,10.0,11.0,17.0,6.0,12.0,7.0,12.0,6.0,9.0,13.0,14.0,14.0,10.0,6.0,8.0,5.0,8.0,8.0,13.0,7.0,9.0,12.0,8.0,12.0,4.0,5.0,11.0,15.0,9.0,4.0,9.0,13.0,11.0,5.0,7.0,11.0,12.0,3.0,4.0,8.0,4.0,9.0,4.0,14.0,7.0,5.0,14.0,5.0,6.0,12.0,5.0,9.0,0.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,19.0,4.0,0.0,1.0,1.0,10.0,4.0,3.0,1.0,5.0,2.0,11.0,8.0,3.0,5.0,1.0,5.0,6.0,4.0,2.0,2.0,1.0,2.0,8.0,8.0,7.0
매력,165.0,117.0,27.0,161.0,41.0,14.0,50.0,51.0,20.0,39.0,20.0,14.0,24.0,12.0,11.0,13.0,19.0,6.0,5.0,8.0,23.0,3.0,22.0,9.0,13.0,16.0,18.0,25.0,10.0,5.0,18.0,11.0,14.0,13.0,3.0,22.0,13.0,17.0,14.0,15.0,14.0,5.0,3.0,3.0,13.0,14.0,9.0,2.0,1.0,6.0,2.0,10.0,11.0,21.0,17.0,10.0,9.0,13.0,8.0,20.0,7.0,18.0,3.0,7.0,6.0,12.0,4.0,0.0,7.0,11.0,7.0,12.0,19.0,12.0,3.0,1.0,6.0,7.0,17.0,5.0,9.0,3.0,5.0,16.0,9.0,1.0,7.0,5.0,0.0,7.0,2.0,9.0,3.0,4.0,5.0,4.0,6.0,8.0,15.0,6.0
이후,124.0,57.0,23.0,38.0,31.0,100.0,19.0,24.0,30.0,30.0,6.0,13.0,28.0,13.0,19.0,14.0,18.0,24.0,22.0,10.0,16.0,14.0,24.0,2.0,13.0,19.0,11.0,8.0,12.0,29.0,11.0,10.0,6.0,9.0,10.0,11.0,3.0,11.0,8.0,8.0,10.0,17.0,11.0,0.0,10.0,8.0,20.0,5.0,6.0,9.0,22.0,10.0,8.0,15.0,9.0,14.0,9.0,10.0,12.0,3.0,33.0,19.0,13.0,15.0,8.0,2.0,4.0,7.0,0.0,9.0,3.0,5.0,7.0,7.0,5.0,16.0,6.0,5.0,7.0,7.0,3.0,8.0,3.0,6.0,2.0,12.0,9.0,2.0,1.0,2.0,1.0,5.0,5.0,7.0,4.0,8.0,4.0,6.0,0.0,4.0
요소,150.0,86.0,16.0,69.0,74.0,18.0,36.0,32.0,25.0,28.0,30.0,16.0,23.0,11.0,20.0,12.0,9.0,7.0,7.0,8.0,22.0,14.0,22.0,9.0,19.0,11.0,24.0,21.0,15.0,7.0,22.0,12.0,7.0,19.0,7.0,22.0,9.0,19.0,13.0,21.0,12.0,4.0,11.0,7.0,18.0,14.0,1.0,1.0,1.0,5.0,3.0,13.0,10.0,13.0,12.0,14.0,11.0,6.0,7.0,20.0,5.0,11.0,3.0,5.0,8.0,6.0,4.0,11.0,9.0,0.0,9.0,12.0,17.0,12.0,4.0,3.0,4.0,4.0,13.0,7.0,7.0,1.0,6.0,12.0,7.0,6.0,4.0,4.0,6.0,6.0,7.0,6.0,3.0,3.0,11.0,5.0,3.0,6.0,10.0,8.0
그래픽,141.0,86.0,18.0,58.0,17.0,14.0,26.0,23.0,19.0,14.0,19.0,20.0,11.0,10.0,22.0,0.0,11.0,5.0,10.0,13.0,22.0,9.0,17.0,5.0,22.0,10.0,10.0,23.0,13.0,0.0,6.0,7.0,12.0,14.0,5.0,14.0,17.0,12.0,5.0,11.0,4.0,6.0,5.0,3.0,13.0,7.0,5.0,6.0,1.0,7.0,7.0,8.0,4.0,13.0,19.0,9.0,14.0,4.0,8.0,8.0,1.0,7.0,1.0,6.0,7.0,9.0,6.0,7.0,3.0,9.0,0.0,6.0,14.0,8.0,4.0,3.0,4.0,6.0,3.0,12.0,7.0,1.0,1.0,18.0,2.0,4.0,5.0,5.0,2.0,1.0,3.0,7.0,3.0,4.0,4.0,5.0,11.0,1.0,7.0,5.0
유도,151.0,61.0,14.0,63.0,137.0,16.0,27.0,42.0,17.0,31.0,10.0,17.0,23.0,6.0,24.0,13.0,18.0,6.0,3.0,17.0,13.0,13.0,26.0,10.0,14.0,11.0,19.0,6.0,7.0,5.0,15.0,12.0,4.0,10.0,2.0,10.0,6.0,14.0,18.0,16.0,15.0,7.0,6.0,7.0,8.0,3.0,4.0,6.0,1.0,7.0,1.0,5.0,3.0,11.0,3.0,11.0,8.0,7.0,10.0,13.0,5.0,8.0,2.0,12.0,12.0,3.0,5.0,12.0,5.0,12.0,6.0,0.0,14.0,8.0,6.0,3.0,2.0,5.0,12.0,4.0,5.0,1.0,5.0,4.0,14.0,2.0,11.0,3.0,4.0,9.0,3.0,8.0,6.0,6.0,5.0,7.0,4.0,6.0,5.0,4.0
