,게임,스테이지,제작,시간,플레이,느낌,재미,스토리,생각,보스,플레이어,진행,사람,아이템,조작,기술,요소,추천,퍼즐,난이도,전투,처음,문제,공격,캐릭터,업데이트,구매,돈,마지막,시스템,시작,무기,서버,불편,개발자,그래픽,반복,환불,이상,수준,회차,기대,패턴,초반,평가,필요,짜증,저장,힘들,친구,퀘스트,사용,할인,선택,이동,소울,추가,부족,구간,공포,가격,점프,중간,Roguelike,모드,이해,이유,번역,주인공,몬스터,기본,설정,단점,장르,한글,디자인,친절,노가다,사실,액션,모션,설명,생존,존재,도전,멀티,방식,장점,아쉽,다음,파밍,레벨,월드,쓰레기,의미,상태,출시,마을,분위기,상황
게임,0.0,373.0,475.0,445.0,457.0,414.0,486.0,303.0,430.0,187.0,246.0,270.0,281.0,147.0,214.0,126.0,219.0,304.0,142.0,179.0,146.0,225.0,215.0,135.0,167.0,173.0,204.0,163.0,207.0,150.0,182.0,91.0,57.0,147.0,155.0,159.0,129.0,128.0,149.0,145.0,58.0,138.0,104.0,128.0,160.0,145.0,123.0,83.0,147.0,86.0,67.0,88.0,110.0,85.0,97.0,67.0,113.0,121.0,61.0,78.0,117.0,78.0,84.0,82.0,71.0,117.0,113.0,51.0,85.0,59.0,106.0,82.0,113.0,95.0,66.0,86.0,117.0,75.0,108.0,77.0,85.0,91.0,73.0,87.0,68.0,58.0,94.0,109.0,104.0,94.0,63.0,76.0,70.0,78.0,79.0,79.0,85.0,47.0,80.0,79.0
스테이지,373.0,0.0,193.0,169.0,168.0,172.0,172.0,119.0,165.0,141.0,95.0,115.0,98.0,88.0,73.0,63.0,87.0,111.0,54.0,79.0,78.0,100.0,99.0,77.0,76.0,57.0,60.0,59.0,93.0,70.0,88.0,55.0,14.0,67.0,52.0,49.0,72.0,26.0,70.0,56.0,25.0,58.0,68.0,64.0,63.0,74.0,51.0,40.0,77.0,36.0,41.0,58.0,23.0,43.0,64.0,35.0,58.0,56.0,37.0,29.0,32.0,43.0,45.0,36.0,30.0,50.0,53.0,12.0,39.0,38.0,47.0,32.0,53.0,41.0,16.0,42.0,40.0,35.0,51.0,29.0,43.0,40.0,28.0,50.0,36.0,18.0,44.0,53.0,51.0,61.0,27.0,43.0,31.0,27.0,45.0,39.0,36.0,25.0,32.0,40.0
제작,475.0,193.0,0.0,195.0,195.0,211.0,185.0,145.0,197.0,113.0,132.0,119.0,128.0,85.0,86.0,82.0,111.0,133.0,57.0,88.0,76.0,107.0,105.0,72.0,81.0,81.0,82.0,84.0,116.0,87.0,83.0,59.0,17.0,73.0,93.0,61.0,74.0,33.0,79.0,74.0,26.0,68.0,60.0,69.0,72.0,85.0,68.0,40.0,76.0,29.0,47.0,55.0,32.0,47.0,59.0,33.0,65.0,58.0,46.0,30.0,50.0,51.0,53.0,36.0,34.0,69.0,63.0,19.0,51.0,44.0,58.0,49.0,63.0,50.0,21.0,44.0,35.0,45.0,71.0,36.0,45.0,46.0,40.0,57.0,36.0,23.0,46.0,62.0,53.0,63.0,31.0,43.0,39.0,32.0,48.0,44.0,41.0,24.0,36.0,46.0
시간,445.0,169.0,195.0,0.0,268.0,179.0,205.0,147.0,184.0,94.0,107.0,114.0,123.0,79.0,84.0,74.0,104.0,130.0,62.0,91.0,62.0,120.0,104.0,71.0,78.0,63.0,99.0,90.0,103.0,83.0,84.0,49.0,30.0,72.0,59.0,67.0,69.0,72.0,81.0,58.0,35.0,60.0,53.0,71.0,66.0,87.0,57.0,45.0,71.0,41.0,42.0,59.0,63.0,42.0,55.0,26.0,54.0,63.0,32.0,32.0,65.0,37.0,49.0,31.0,29.0,65.0,62.0,25.0,42.0,32.0,53.0,39.0,58.0,36.0,25.0,38.0,40.0,49.0,63.0,34.0,37.0,50.0,31.0,53.0,33.0,20.0,45.0,59.0,36.0,53.0,34.0,40.0,36.0,30.0,50.0,40.0,36.0,21.0,32.0,49.0
플레이,457.0,168.0,195.0,268.0,0.0,204.0,195.0,160.0,193.0,92.0,133.0,126.0,126.0,82.0,95.0,67.0,123.0,145.0,76.0,91.0,77.0,109.0,107.0,70.0,98.0,67.0,120.0,71.0,115.0,84.0,82.0,49.0,24.0,85.0,67.0,81.0,92.0,54.0,71.0,72.0,41.0,77.0,52.0,59.0,66.0,77.0,57.0,39.0,73.0,44.0,38.0,60.0,67.0,44.0,53.0,30.0,59.0,65.0,33.0,42.0,63.0,36.0,46.0,36.0,32.0,63.0,64.0,23.0,49.0,35.0,47.0,46.0,63.0,42.0,29.0,44.0,43.0,48.0,64.0,34.0,44.0,49.0,31.0,53.0,42.0,37.0,65.0,60.0,56.0,53.0,36.0,40.0,43.0,19.0,48.0,52.0,44.0,19.0,51.0,53.0
느낌,414.0,172.0,211.0,179.0,204.0,0.0,216.0,149.0,197.0,93.0,113.0,102.0,116.0,75.0,90.0,77.0,120.0,126.0,54.0,82.0,80.0,105.0,101.0,82.0,92.0,57.0,88.0,58.0,102.0,78.0,72.0,51.0,14.0,75.0,57.0,65.0,69.0,34.0,69.0,58.0,33.0,79.0,63.0,71.0,80.0,76.0,55.0,29.0,73.0,28.0,36.0,55.0,43.0,45.0,49.0,34.0,51.0,70.0,31.0,32.0,49.0,36.0,39.0,41.0,31.0,64.0,61.0,18.0,49.0,36.0,63.0,42.0,65.0,47.0,17.0,41.0,44.0,42.0,68.0,46.0,49.0,44.0,31.0,51.0,35.0,21.0,56.0,62.0,62.0,51.0,35.0,36.0,37.0,18.0,47.0,39.0,36.0,23.0,42.0,51.0
재미,486.0,172.0,185.0,205.0,195.0,216.0,0.0,120.0,192.0,86.0,112.0,90.0,120.0,72.0,78.0,68.0,107.0,140.0,60.0,84.0,80.0,111.0,94.0,66.0,79.0,73.0,88.0,84.0,87.0,69.0,75.0,54.0,20.0,70.0,53.0,69.0,79.0,53.0,62.0,63.0,33.0,70.0,60.0,84.0,67.0,72.0,60.0,31.0,81.0,44.0,36.0,53.0,61.0,36.0,46.0,21.0,53.0,57.0,33.0,29.0,60.0,36.0,43.0,55.0,33.0,54.0,62.0,23.0,32.0,29.0,51.0,40.0,59.0,50.0,25.0,42.0,36.0,48.0,56.0,44.0,39.0,40.0,27.0,39.0,30.0,19.0,40.0,49.0,54.0,47.0,37.0,35.0,35.0,25.0,37.0,36.0,36.0,20.0,32.0,41.0
스토리,303.0,119.0,145.0,147.0,160.0,149.0,120.0,0.0,137.0,56.0,79.0,113.0,82.0,49.0,63.0,47.0,82.0,99.0,71.0,69.0,67.0,68.0,68.0,42.0,54.0,32.0,56.0,41.0,92.0,49.0,53.0,27.0,5.0,45.0,45.0,65.0,45.0,17.0,39.0,58.0,36.0,58.0,31.0,48.0,58.0,53.0,39.0,23.0,46.0,25.0,30.0,35.0,33.0,38.0,36.0,18.0,40.0,44.0,27.0,33.0,47.0,27.0,35.0,11.0,28.0,59.0,41.0,25.0,48.0,23.0,33.0,33.0,42.0,29.0,18.0,34.0,32.0,25.0,53.0,24.0,30.0,38.0,19.0,31.0,26.0,10.0,37.0,45.0,43.0,35.0,16.0,25.0,25.0,19.0,41.0,24.0,29.0,17.0,38.0,32.0
생각,430.0,165.0,197.0,184.0,193.0,197.0,192.0,137.0,0.0,97.0,115.0,119.0,126.0,68.0,79.0,55.0,107.0,133.0,65.0,82.0,70.0,114.0,113.0,77.0,79.0,66.0,87.0,72.0,110.0,64.0,72.0,48.0,16.0,59.0,76.0,74.0,62.0,39.0,79.0,67.0,32.0,71.0,55.0,71.0,76.0,87.0,54.0,26.0,69.0,31.0,33.0,51.0,52.0,46.0,47.0,29.0,68.0,55.0,34.0,27.0,63.0,35.0,43.0,32.0,29.0,60.0,59.0,22.0,41.0,30.0,52.0,33.0,60.0,47.0,24.0,41.0,34.0,36.0,62.0,40.0,43.0,43.0,23.0,54.0,41.0,23.0,46.0,55.0,56.0,52.0,29.0,40.0,35.0,23.0,46.0,42.0,44.0,17.0,35.0,44.0
보스,187.0,141.0,113.0,94.0,92.0,93.0,86.0,56.0,97.0,0.0,59.0,57.0,40.0,56.0,42.0,53.0,43.0,65.0,20.0,64.0,50.0,46.0,58.0,71.0,56.0,31.0,26.0,33.0,49.0,46.0,40.0,36.0,5.0,39.0,32.0,23.0,42.0,13.0,40.0,29.0,20.0,28.0,80.0,33.0,28.0,48.0,37.0,22.0,41.0,13.0,21.0,32.0,14.0,17.0,35.0,36.0,28.0,29.0,26.0,8.0,18.0,23.0,32.0,26.0,13.0,30.0,33.0,11.0,19.0,30.0,30.0,19.0,31.0,25.0,5.0,29.0,20.0,19.0,29.0,23.0,22.0,27.0,5.0,24.0,27.0,7.0,29.0,34.0,26.0,41.0,20.0,27.0,14.0,13.0,29.0,24.0,21.0,15.0,19.0,25.0
플레이어,246.0,95.0,132.0,107.0,133.0,113.0,112.0,79.0,115.0,59.0,0.0,73.0,90.0,52.0,52.0,40.0,77.0,76.0,27.0,48.0,38.0,65.0,77.0,46.0,64.0,67.0,52.0,39.0,59.0,47.0,65.0,28.0,22.0,51.0,67.0,33.0,37.0,20.0,48.0,52.0,15.0,39.0,34.0,37.0,51.0,60.0,34.0,23.0,49.0,20.0,19.0,54.0,17.0,33.0,36.0,19.0,45.0,41.0,21.0,17.0,38.0,28.0,21.0,25.0,24.0,42.0,38.0,21.0,33.0,22.0,42.0,34.0,33.0,38.0,19.0,30.0,33.0,24.0,47.0,26.0,26.0,34.0,22.0,45.0,24.0,19.0,41.0,38.0,33.0,43.0,20.0,32.0,22.0,19.0,30.0,30.0,25.0,13.0,27.0,42.0
진행,270.0,115.0,119.0,114.0,126.0,102.0,90.0,113.0,119.0,57.0,73.0,0.0,68.0,47.0,50.0,39.0,66.0,95.0,37.0,54.0,49.0,74.0,83.0,49.0,57.0,35.0,51.0,37.0,66.0,50.0,60.0,33.0,11.0,45.0,38.0,49.0,45.0,25.0,45.0,48.0,23.0,41.0,25.0,47.0,49.0,52.0,33.0,34.0,40.0,14.0,40.0,41.0,28.0,34.0,37.0,15.0,39.0,43.0,27.0,21.0,23.0,29.0,33.0,10.0,14.0,37.0,34.0,14.0,42.0,17.0,29.0,26.0,37.0,25.0,8.0,35.0,34.0,28.0,38.0,21.0,29.0,22.0,20.0,30.0,29.0,13.0,49.0,34.0,33.0,36.0,16.0,30.0,22.0,13.0,35.0,30.0,25.0,17.0,32.0,34.0
사람,281.0,98.0,128.0,123.0,126.0,116.0,120.0,82.0,126.0,40.0,90.0,68.0,0.0,37.0,51.0,36.0,68.0,93.0,45.0,45.0,37.0,71.0,77.0,33.0,52.0,39.0,64.0,43.0,55.0,45.0,57.0,22.0,27.0,42.0,51.0,43.0,38.0,31.0,49.0,41.0,8.0,40.0,20.0,38.0,61.0,46.0,31.0,19.0,52.0,27.0,17.0,32.0,36.0,23.0,26.0,15.0,33.0,40.0,26.0,19.0,33.0,24.0,26.0,16.0,20.0,38.0,38.0,11.0,38.0,13.0,34.0,29.0,35.0,36.0,19.0,30.0,31.0,20.0,44.0,18.0,25.0,34.0,25.0,32.0,19.0,18.0,31.0,37.0,31.0,39.0,19.0,22.0,29.0,11.0,32.0,26.0,24.0,17.0,30.0,31.0
아이템,147.0,88.0,85.0,79.0,82.0,75.0,72.0,49.0,68.0,56.0,52.0,47.0,37.0,0.0,37.0,42.0,50.0,42.0,11.0,42.0,35.0,48.0,54.0,39.0,55.0,41.0,38.0,34.0,41.0,43.0,38.0,35.0,8.0,38.0,39.0,18.0,30.0,11.0,37.0,30.0,12.0,29.0,34.0,26.0,27.0,47.0,15.0,15.0,30.0,7.0,21.0,36.0,12.0,20.0,22.0,8.0,24.0,36.0,9.0,9.0,19.0,16.0,17.0,32.0,15.0,22.0,24.0,14.0,19.0,25.0,28.0,22.0,30.0,23.0,10.0,18.0,20.0,21.0,34.0,12.0,13.0,19.0,22.0,30.0,14.0,7.0,23.0,29.0,22.0,23.0,31.0,23.0,14.0,18.0,26.0,26.0,22.0,11.0,12.0,24.0
조작,214.0,73.0,86.0,84.0,95.0,90.0,78.0,63.0,79.0,42.0,52.0,50.0,51.0,37.0,0.0,29.0,57.0,58.0,41.0,53.0,47.0,37.0,55.0,32.0,40.0,28.0,43.0,29.0,38.0,37.0,33.0,19.0,0.0,74.0,27.0,47.0,22.0,25.0,37.0,33.0,13.0,31.0,26.0,25.0,30.0,35.0,49.0,17.0,32.0,10.0,15.0,20.0,30.0,23.0,36.0,11.0,22.0,27.0,27.0,22.0,27.0,42.0,22.0,20.0,12.0,25.0,23.0,12.0,28.0,14.0,33.0,30.0,31.0,26.0,8.0,21.0,29.0,15.0,34.0,22.0,37.0,32.0,8.0,22.0,16.0,2.0,19.0,26.0,25.0,16.0,12.0,15.0,9.0,21.0,23.0,23.0,24.0,4.0,31.0,26.0
기술,126.0,63.0,82.0,74.0,67.0,77.0,68.0,47.0,55.0,53.0,40.0,39.0,36.0,42.0,29.0,0.0,41.0,39.0,15.0,31.0,47.0,31.0,40.0,49.0,41.0,26.0,28.0,24.0,36.0,46.0,31.0,36.0,3.0,32.0,27.0,20.0,19.0,9.0,28.0,27.0,11.0,24.0,25.0,26.0,17.0,36.0,18.0,12.0,28.0,16.0,27.0,34.0,12.0,17.0,27.0,14.0,31.0,29.0,14.0,1.0,21.0,13.0,13.0,13.0,11.0,24.0,18.0,10.0,18.0,24.0,26.0,16.0,22.0,19.0,11.0,19.0,11.0,15.0,33.0,14.0,21.0,25.0,7.0,21.0,14.0,7.0,22.0,22.0,16.0,20.0,19.0,18.0,14.0,11.0,24.0,22.0,12.0,13.0,12.0,30.0
요소,219.0,87.0,111.0,104.0,123.0,120.0,107.0,82.0,107.0,43.0,77.0,66.0,68.0,50.0,57.0,41.0,0.0,72.0,39.0,55.0,51.0,52.0,60.0,44.0,52.0,29.0,42.0,30.0,57.0,54.0,52.0,35.0,5.0,43.0,35.0,41.0,43.0,14.0,39.0,40.0,21.0,34.0,41.0,40.0,41.0,49.0,40.0,13.0,39.0,11.0,25.0,32.0,24.0,30.0,35.0,16.0,43.0,44.0,15.0,21.0,32.0,25.0,22.0,27.0,16.0,40.0,38.0,13.0,31.0,24.0,42.0,24.0,39.0,40.0,10.0,22.0,23.0,31.0,36.0,22.0,27.0,28.0,24.0,36.0,28.0,10.0,28.0,43.0,33.0,30.0,26.0,22.0,26.0,11.0,31.0,25.0,18.0,12.0,22.0,31.0
추천,304.0,111.0,133.0,130.0,145.0,126.0,140.0,99.0,133.0,65.0,76.0,95.0,93.0,42.0,58.0,39.0,72.0,0.0,47.0,58.0,53.0,64.0,73.0,46.0,48.0,46.0,89.0,50.0,69.0,46.0,52.0,37.0,14.0,45.0,48.0,51.0,44.0,22.0,52.0,46.0,22.0,50.0,30.0,39.0,50.0,56.0,31.0,32.0,38.0,24.0,30.0,29.0,52.0,27.0,30.0,20.0,42.0,36.0,29.0,21.0,40.0,30.0,37.0,19.0,20.0,38.0,49.0,13.0,33.0,24.0,35.0,29.0,44.0,26.0,19.0,36.0,21.0,22.0,43.0,29.0,24.0,23.0,22.0,28.0,31.0,13.0,32.0,44.0,42.0,38.0,19.0,30.0,26.0,9.0,33.0,25.0,27.0,13.0,34.0,28.0
퍼즐,142.0,54.0,57.0,62.0,76.0,54.0,60.0,71.0,65.0,20.0,27.0,37.0,45.0,11.0,41.0,15.0,39.0,47.0,0.0,27.0,21.0,26.0,29.0,14.0,18.0,7.0,25.0,15.0,32.0,10.0,21.0,5.0,0.0,20.0,17.0,38.0,28.0,9.0,17.0,25.0,15.0,21.0,12.0,22.0,27.0,16.0,17.0,14.0,20.0,15.0,2.0,12.0,20.0,15.0,16.0,5.0,12.0,10.0,11.0,24.0,17.0,16.0,16.0,1.0,4.0,22.0,14.0,2.0,21.0,4.0,11.0,12.0,13.0,11.0,2.0,20.0,13.0,7.0,19.0,17.0,15.0,15.0,0.0,14.0,15.0,2.0,21.0,12.0,17.0,16.0,3.0,12.0,8.0,4.0,21.0,7.0,7.0,3.0,35.0,14.0
난이도,179.0,79.0,88.0,91.0,91.0,82.0,84.0,69.0,82.0,64.0,48.0,54.0,45.0,42.0,53.0,31.0,55.0,58.0,27.0,0.0,31.0,45.0,49.0,42.0,47.0,27.0,31.0,31.0,37.0,34.0,42.0,31.0,3.0,39.0,31.0,26.0,30.0,12.0,35.0,37.0,19.0,25.0,34.0,38.0,39.0,41.0,38.0,16.0,36.0,9.0,11.0,25.0,15.0,20.0,21.0,25.0,26.0,22.0,22.0,14.0,19.0,19.0,20.0,27.0,23.0,22.0,28.0,8.0,20.0,23.0,25.0,25.0,28.0,32.0,6.0,22.0,15.0,20.0,35.0,15.0,20.0,17.0,8.0,28.0,29.0,8.0,27.0,26.0,25.0,23.0,14.0,23.0,16.0,12.0,23.0,18.0,15.0,6.0,23.0,16.0
전투,146.0,78.0,76.0,62.0,77.0,80.0,80.0,67.0,70.0,50.0,38.0,49.0,37.0,35.0,47.0,47.0,51.0,53.0,21.0,31.0,0.0,29.0,47.0,52.0,44.0,25.0,20.0,16.0,41.0,46.0,31.0,36.0,1.0,33.0,22.0,27.0,40.0,13.0,30.0,38.0,11.0,34.0,34.0,41.0,24.0,31.0,17.0,18.0,28.0,7.0,30.0,28.0,17.0,17.0,25.0,17.0,25.0,25.0,15.0,3.0,18.0,16.0,23.0,9.0,11.0,26.0,21.0,12.0,22.0,25.0,23.0,19.0,23.0,18.0,10.0,27.0,12.0,15.0,30.0,26.0,29.0,25.0,15.0,21.0,18.0,9.0,31.0,27.0,20.0,18.0,15.0,19.0,19.0,7.0,22.0,22.0,17.0,15.0,15.0,22.0
처음,225.0,100.0,107.0,120.0,109.0,105.0,111.0,68.0,114.0,46.0,65.0,74.0,71.0,48.0,37.0,31.0,52.0,64.0,26.0,45.0,29.0,0.0,57.0,36.0,48.0,43.0,59.0,46.0,72.0,39.0,63.0,29.0,13.0,35.0,43.0,32.0,39.0,29.0,35.0,32.0,15.0,38.0,25.0,39.0,41.0,46.0,36.0,25.0,36.0,20.0,22.0,38.0,28.0,25.0,32.0,14.0,33.0,29.0,19.0,24.0,27.0,22.0,34.0,18.0,15.0,33.0,28.0,9.0,27.0,19.0,19.0,27.0,38.0,20.0,12.0,21.0,16.0,25.0,38.0,13.0,25.0,24.0,17.0,30.0,22.0,14.0,30.0,34.0,25.0,29.0,16.0,18.0,16.0,12.0,29.0,20.0,25.0,16.0,21.0,24.0
문제,215.0,99.0,105.0,104.0,107.0,101.0,94.0,68.0,113.0,58.0,77.0,83.0,77.0,54.0,55.0,40.0,60.0,73.0,29.0,49.0,47.0,57.0,0.0,57.0,46.0,44.0,56.0,33.0,51.0,44.0,52.0,34.0,21.0,46.0,46.0,42.0,34.0,18.0,44.0,45.0,21.0,43.0,27.0,34.0,49.0,57.0,26.0,25.0,33.0,15.0,25.0,41.0,30.0,32.0,29.0,11.0,31.0,41.0,22.0,16.0,30.0,26.0,22.0,13.0,20.0,35.0,44.0,18.0,33.0,19.0,35.0,30.0,43.0,28.0,14.0,34.0,22.0,20.0,47.0,20.0,28.0,31.0,18.0,37.0,18.0,17.0,34.0,38.0,30.0,37.0,19.0,26.0,21.0,13.0,31.0,32.0,24.0,14.0,18.0,29.0
