,게임,플레이,시간,생각,스토리,보스,난이도,사람,추천,느낌,무기,재미,아이템,진행,요소,퍼즐,공격,도전,캐릭터,스테이지,그래픽,업데이트,처음,전투,친구,시작,회차,한글,모드,단점,조작,발언,추가,필요,구매,사용,플레이어,부족,시스템,문제,전작,레벨,존재,퀘스트,과제,이상,소울,초반,멀티,가격,분위기,주인공,파밍,액션,선택,개인,공포,패턴,마을,중간,장점,평가,사실,기본,방식,기대,타워,탐험,번역,불편,수준,시리즈,반복,생존,마지막,장비,작품,이동,몰입,세일,마법,공략,배경,메트로,설정,마음,체력,Roguelike,다음,노가다,상황,개발자,디자인,나무,장르,점프,설명,이해,상태,할인
전투,211.0,117.0,106.0,106.0,96.0,81.0,82.0,65.0,100.0,86.0,69.0,82.0,59.0,70.0,76.0,49.0,68.0,36.0,62.0,43.0,53.0,28.0,55.0,0.0,21.0,42.0,23.0,23.0,18.0,49.0,45.0,0.0,39.0,51.0,34.0,54.0,41.0,40.0,55.0,43.0,24.0,39.0,39.0,43.0,28.0,30.0,36.0,42.0,24.0,34.0,34.0,32.0,37.0,51.0,31.0,38.0,4.0,47.0,24.0,24.0,39.0,33.0,35.0,37.0,43.0,33.0,5.0,49.0,22.0,45.0,37.0,17.0,25.0,20.0,27.0,34.0,30.0,44.0,38.0,8.0,23.0,27.0,24.0,30.0,16.0,33.0,36.0,10.0,23.0,21.0,29.0,20.0,31.0,12.0,20.0,24.0,24.0,29.0,28.0,17.0
친구,203.0,96.0,73.0,56.0,50.0,27.0,51.0,53.0,83.0,37.0,21.0,37.0,21.0,37.0,27.0,25.0,16.0,14.0,41.0,18.0,33.0,24.0,40.0,21.0,0.0,28.0,17.0,15.0,22.0,19.0,20.0,0.0,24.0,32.0,24.0,23.0,24.0,20.0,21.0,18.0,5.0,8.0,13.0,15.0,11.0,31.0,6.0,18.0,39.0,25.0,13.0,12.0,11.0,11.0,22.0,18.0,11.0,15.0,11.0,11.0,10.0,20.0,14.0,11.0,16.0,17.0,2.0,10.0,7.0,13.0,17.0,8.0,17.0,9.0,15.0,12.0,6.0,7.0,7.0,15.0,6.0,15.0,12.0,1.0,17.0,11.0,9.0,6.0,21.0,9.0,8.0,10.0,8.0,7.0,7.0,11.0,13.0,14.0,15.0,4.0
시작,275.0,145.0,132.0,137.0,85.0,70.0,90.0,103.0,92.0,86.0,55.0,73.0,62.0,81.0,66.0,41.0,54.0,51.0,61.0,45.0,63.0,54.0,111.0,42.0,28.0,0.0,33.0,33.0,31.0,51.0,53.0,1.0,53.0,67.0,40.0,48.0,41.0,51.0,43.0,51.0,12.0,55.0,51.0,32.0,37.0,51.0,19.0,54.0,24.0,37.0,36.0,40.0,34.0,32.0,41.0,41.0,19.0,29.0,38.0,26.0,36.0,36.0,47.0,51.0,42.0,39.0,5.0,18.0,20.0,38.0,30.0,13.0,31.0,29.0,41.0,27.0,17.0,31.0,27.0,17.0,17.0,31.0,28.0,19.0,40.0,31.0,25.0,19.0,42.0,25.0,45.0,37.0,27.0,26.0,32.0,25.0,36.0,34.0,38.0,23.0
회차,130.0,103.0,79.0,72.0,62.0,67.0,59.0,38.0,69.0,52.0,24.0,40.0,31.0,47.0,46.0,27.0,28.0,49.0,36.0,21.0,28.0,13.0,43.0,23.0,17.0,33.0,0.0,14.0,19.0,33.0,20.0,1.0,25.0,27.0,15.0,25.0,19.0,22.0,20.0,21.0,17.0,26.0,22.0,12.0,35.0,29.0,33.0,19.0,11.0,17.0,22.0,20.0,16.0,26.0,26.0,31.0,5.0,36.0,8.0,14.0,24.0,23.0,20.0,15.0,19.0,12.0,1.0,13.0,13.0,20.0,13.0,13.0,12.0,2.0,23.0,13.0,11.0,15.0,14.0,13.0,6.0,21.0,7.0,19.0,15.0,24.0,16.0,10.0,8.0,9.0,22.0,15.0,17.0,3.0,18.0,16.0,18.0,24.0,11.0,13.0
한글,187.0,95.0,94.0,72.0,62.0,33.0,63.0,50.0,71.0,50.0,24.0,42.0,35.0,53.0,40.0,21.0,22.0,26.0,31.0,18.0,56.0,88.0,34.0,23.0,15.0,33.0,14.0,0.0,32.0,50.0,19.0,1.0,35.0,43.0,32.0,34.0,25.0,27.0,31.0,42.0,11.0,19.0,27.0,22.0,18.0,27.0,15.0,25.0,22.0,39.0,17.0,23.0,17.0,26.0,22.0,37.0,6.0,12.0,14.0,19.0,39.0,26.0,21.0,32.0,25.0,24.0,4.0,13.0,58.0,22.0,37.0,17.0,14.0,12.0,12.0,13.0,16.0,15.0,16.0,19.0,8.0,18.0,20.0,8.0,22.0,22.0,13.0,5.0,17.0,12.0,16.0,26.0,17.0,7.0,16.0,12.0,21.0,23.0,21.0,23.0
모드,142.0,80.0,80.0,68.0,65.0,39.0,66.0,52.0,57.0,41.0,24.0,37.0,35.0,47.0,42.0,12.0,31.0,36.0,32.0,29.0,37.0,44.0,44.0,18.0,22.0,31.0,19.0,32.0,0.0,23.0,25.0,1.0,41.0,40.0,25.0,31.0,24.0,25.0,30.0,35.0,14.0,26.0,26.0,14.0,22.0,32.0,12.0,28.0,20.0,24.0,24.0,16.0,12.0,19.0,30.0,26.0,9.0,22.0,12.0,13.0,24.0,26.0,14.0,27.0,18.0,19.0,6.0,8.0,17.0,19.0,24.0,11.0,17.0,9.0,21.0,13.0,13.0,20.0,13.0,13.0,13.0,23.0,15.0,3.0,24.0,22.0,15.0,10.0,15.0,8.0,20.0,16.0,16.0,7.0,19.0,13.0,19.0,10.0,20.0,11.0
단점,283.0,161.0,154.0,146.0,127.0,93.0,121.0,90.0,122.0,89.0,61.0,85.0,68.0,87.0,98.0,49.0,70.0,50.0,64.0,64.0,87.0,56.0,65.0,49.0,19.0,51.0,33.0,50.0,23.0,0.0,58.0,0.0,56.0,63.0,43.0,59.0,42.0,48.0,69.0,62.0,34.0,51.0,60.0,40.0,33.0,45.0,43.0,52.0,32.0,49.0,54.0,47.0,27.0,40.0,50.0,56.0,26.0,40.0,25.0,32.0,174.0,50.0,60.0,49.0,44.0,39.0,15.0,34.0,27.0,52.0,45.0,29.0,30.0,19.0,40.0,33.0,34.0,47.0,32.0,12.0,22.0,31.0,35.0,28.0,29.0,38.0,31.0,15.0,25.0,15.0,38.0,26.0,37.0,13.0,44.0,30.0,38.0,38.0,31.0,23.0
조작,226.0,134.0,111.0,105.0,104.0,60.0,97.0,74.0,94.0,70.0,39.0,54.0,39.0,65.0,59.0,62.0,38.0,55.0,53.0,37.0,85.0,21.0,52.0,45.0,20.0,53.0,20.0,19.0,25.0,58.0,0.0,1.0,25.0,50.0,34.0,39.0,41.0,29.0,34.0,43.0,25.0,33.0,38.0,20.0,34.0,27.0,16.0,32.0,13.0,38.0,61.0,38.0,15.0,37.0,22.0,38.0,17.0,26.0,15.0,21.0,46.0,39.0,33.0,31.0,47.0,25.0,7.0,19.0,11.0,57.0,31.0,21.0,19.0,12.0,40.0,15.0,29.0,32.0,29.0,19.0,9.0,23.0,41.0,19.0,30.0,30.0,14.0,6.0,31.0,7.0,30.0,18.0,28.0,9.0,27.0,35.0,34.0,24.0,20.0,18.0
발언,6.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
추가,207.0,143.0,114.0,113.0,79.0,65.0,87.0,69.0,96.0,80.0,55.0,66.0,62.0,66.0,60.0,21.0,46.0,47.0,55.0,44.0,52.0,68.0,76.0,39.0,24.0,53.0,25.0,35.0,41.0,56.0,25.0,0.0,0.0,64.0,54.0,53.0,33.0,53.0,52.0,45.0,24.0,43.0,44.0,36.0,37.0,56.0,26.0,46.0,38.0,40.0,34.0,35.0,35.0,29.0,33.0,49.0,14.0,27.0,32.0,28.0,33.0,42.0,35.0,48.0,28.0,41.0,8.0,19.0,20.0,31.0,33.0,13.0,26.0,11.0,37.0,37.0,20.0,33.0,19.0,13.0,19.0,24.0,16.0,16.0,31.0,32.0,25.0,20.0,24.0,20.0,30.0,23.0,21.0,18.0,24.0,24.0,33.0,18.0,30.0,24.0
필요,241.0,148.0,137.0,127.0,91.0,72.0,108.0,85.0,95.0,74.0,71.0,78.0,77.0,84.0,64.0,31.0,56.0,59.0,54.0,40.0,66.0,55.0,67.0,51.0,32.0,67.0,27.0,43.0,40.0,63.0,50.0,0.0,64.0,0.0,52.0,65.0,50.0,54.0,49.0,56.0,22.0,52.0,51.0,44.0,35.0,55.0,23.0,63.0,27.0,53.0,40.0,32.0,39.0,36.0,33.0,39.0,10.0,41.0,30.0,17.0,52.0,45.0,46.0,51.0,41.0,40.0,9.0,28.0,27.0,36.0,39.0,24.0,37.0,30.0,38.0,39.0,30.0,32.0,31.0,23.0,18.0,27.0,24.0,19.0,27.0,33.0,33.0,15.0,29.0,34.0,38.0,28.0,29.0,21.0,32.0,21.0,36.0,28.0,33.0,22.0
구매,228.0,146.0,118.0,106.0,73.0,51.0,74.0,73.0,108.0,59.0,41.0,46.0,46.0,51.0,49.0,34.0,33.0,52.0,50.0,26.0,58.0,53.0,48.0,34.0,24.0,40.0,15.0,32.0,25.0,43.0,34.0,1.0,54.0,52.0,0.0,39.0,22.0,33.0,43.0,37.0,17.0,31.0,27.0,25.0,36.0,35.0,21.0,38.0,22.0,48.0,29.0,28.0,30.0,25.0,20.0,36.0,11.0,20.0,17.0,21.0,34.0,33.0,23.0,32.0,31.0,35.0,5.0,19.0,21.0,21.0,26.0,19.0,27.0,16.0,22.0,32.0,24.0,17.0,18.0,38.0,8.0,10.0,20.0,17.0,22.0,26.0,20.0,11.0,20.0,16.0,20.0,20.0,17.0,6.0,20.0,15.0,21.0,16.0,27.0,45.0
사용,193.0,129.0,106.0,101.0,88.0,76.0,97.0,60.0,83.0,76.0,68.0,64.0,75.0,66.0,60.0,32.0,60.0,40.0,56.0,49.0,60.0,45.0,63.0,54.0,23.0,48.0,25.0,34.0,31.0,59.0,39.0,0.0,53.0,65.0,39.0,0.0,38.0,49.0,49.0,45.0,17.0,45.0,47.0,24.0,25.0,42.0,27.0,46.0,27.0,30.0,38.0,29.0,23.0,39.0,42.0,43.0,8.0,44.0,20.0,20.0,46.0,41.0,35.0,49.0,38.0,29.0,11.0,20.0,20.0,39.0,33.0,21.0,29.0,15.0,26.0,34.0,29.0,31.0,22.0,16.0,26.0,28.0,24.0,20.0,26.0,28.0,39.0,16.0,27.0,14.0,32.0,24.0,31.0,12.0,32.0,24.0,27.0,24.0,32.0,9.0
플레이어,149.0,113.0,87.0,86.0,81.0,53.0,64.0,62.0,78.0,58.0,40.0,49.0,47.0,65.0,57.0,40.0,50.0,30.0,54.0,40.0,51.0,20.0,46.0,41.0,24.0,41.0,19.0,25.0,24.0,42.0,41.0,1.0,33.0,50.0,22.0,38.0,0.0,38.0,41.0,41.0,20.0,28.0,51.0,24.0,19.0,28.0,27.0,25.0,15.0,25.0,41.0,35.0,15.0,31.0,33.0,36.0,10.0,30.0,21.0,19.0,34.0,24.0,40.0,41.0,44.0,21.0,2.0,22.0,17.0,28.0,30.0,22.0,25.0,15.0,27.0,17.0,23.0,20.0,22.0,10.0,13.0,22.0,32.0,9.0,30.0,35.0,25.0,10.0,28.0,10.0,35.0,25.0,23.0,12.0,26.0,21.0,31.0,24.0,17.0,8.0
부족,182.0,105.0,103.0,108.0,64.0,51.0,61.0,69.0,66.0,78.0,51.0,59.0,59.0,53.0,60.0,22.0,43.0,23.0,55.0,38.0,47.0,48.0,57.0,40.0,20.0,51.0,22.0,27.0,25.0,48.0,29.0,1.0,53.0,54.0,33.0,49.0,38.0,0.0,49.0,44.0,12.0,43.0,44.0,29.0,14.0,43.0,17.0,48.0,22.0,40.0,23.0,29.0,24.0,27.0,29.0,33.0,15.0,25.0,22.0,15.0,32.0,34.0,33.0,38.0,29.0,33.0,6.0,18.0,21.0,32.0,38.0,11.0,25.0,17.0,22.0,29.0,17.0,23.0,18.0,16.0,19.0,21.0,18.0,9.0,18.0,25.0,25.0,20.0,26.0,14.0,31.0,28.0,28.0,12.0,26.0,20.0,40.0,24.0,25.0,14.0
시스템,216.0,131.0,100.0,117.0,82.0,72.0,85.0,75.0,87.0,80.0,58.0,68.0,65.0,63.0,71.0,19.0,58.0,34.0,63.0,41.0,59.0,45.0,56.0,55.0,21.0,43.0,20.0,31.0,30.0,69.0,34.0,3.0,52.0,49.0,43.0,49.0,41.0,49.0,0.0,48.0,25.0,41.0,44.0,27.0,20.0,44.0,41.0,41.0,24.0,34.0,34.0,30.0,34.0,33.0,45.0,38.0,3.0,31.0,23.0,21.0,49.0,31.0,45.0,44.0,32.0,39.0,6.0,26.0,12.0,39.0,30.0,25.0,25.0,14.0,26.0,31.0,25.0,38.0,22.0,8.0,19.0,24.0,24.0,27.0,23.0,38.0,30.0,17.0,31.0,14.0,30.0,23.0,25.0,13.0,28.0,24.0,24.0,20.0,27.0,14.0
문제,197.0,131.0,110.0,114.0,89.0,60.0,74.0,81.0,76.0,70.0,50.0,53.0,62.0,73.0,65.0,26.0,57.0,36.0,57.0,45.0,76.0,57.0,61.0,43.0,18.0,51.0,21.0,42.0,35.0,62.0,43.0,4.0,45.0,56.0,37.0,45.0,41.0,44.0,48.0,0.0,14.0,46.0,46.0,26.0,26.0,40.0,21.0,48.0,25.0,38.0,35.0,35.0,27.0,33.0,39.0,45.0,12.0,34.0,32.0,23.0,48.0,51.0,49.0,51.0,42.0,34.0,6.0,21.0,36.0,36.0,41.0,19.0,23.0,20.0,31.0,28.0,27.0,31.0,24.0,14.0,14.0,27.0,29.0,9.0,33.0,34.0,23.0,10.0,25.0,23.0,39.0,23.0,34.0,14.0,30.0,23.0,28.0,30.0,36.0,18.0
전작,116.0,81.0,58.0,53.0,72.0,41.0,61.0,38.0,41.0,54.0,17.0,34.0,21.0,35.0,40.0,27.0,25.0,24.0,26.0,13.0,51.0,18.0,22.0,24.0,5.0,12.0,17.0,11.0,14.0,34.0,25.0,0.0,24.0,22.0,17.0,17.0,20.0,12.0,25.0,14.0,0.0,19.0,21.0,5.0,14.0,18.0,12.0,8.0,10.0,28.0,25.0,18.0,7.0,28.0,16.0,25.0,11.0,15.0,4.0,8.0,25.0,19.0,22.0,20.0,16.0,22.0,6.0,17.0,12.0,10.0,24.0,28.0,10.0,2.0,19.0,5.0,28.0,10.0,17.0,12.0,8.0,6.0,17.0,21.0,12.0,17.0,12.0,5.0,16.0,5.0,14.0,10.0,14.0,2.0,11.0,6.0,11.0,19.0,8.0,7.0
레벨,174.0,107.0,98.0,85.0,72.0,78.0,83.0,53.0,74.0,64.0,59.0,61.0,65.0,62.0,56.0,28.0,43.0,46.0,59.0,45.0,44.0,27.0,57.0,39.0,8.0,55.0,26.0,19.0,26.0,51.0,33.0,0.0,43.0,52.0,31.0,45.0,28.0,43.0,41.0,46.0,19.0,0.0,45.0,21.0,24.0,37.0,27.0,40.0,16.0,26.0,29.0,19.0,35.0,35.0,33.0,35.0,6.0,30.0,14.0,21.0,38.0,37.0,38.0,39.0,40.0,33.0,6.0,25.0,18.0,38.0,29.0,18.0,31.0,15.0,25.0,34.0,12.0,23.0,22.0,12.0,18.0,21.0,12.0,21.0,19.0,18.0,30.0,13.0,28.0,22.0,27.0,27.0,63.0,14.0,29.0,19.0,25.0,19.0,24.0,12.0
존재,170.0,108.0,95.0,93.0,69.0,63.0,71.0,69.0,61.0,69.0,45.0,47.0,64.0,62.0,68.0,34.0,49.0,43.0,49.0,50.0,56.0,34.0,53.0,39.0,13.0,51.0,22.0,27.0,26.0,60.0,38.0,1.0,44.0,51.0,27.0,47.0,51.0,44.0,44.0,46.0,21.0,45.0,0.0,28.0,27.0,46.0,28.0,35.0,22.0,28.0,35.0,38.0,19.0,31.0,37.0,29.0,8.0,28.0,24.0,19.0,43.0,33.0,47.0,46.0,35.0,25.0,10.0,25.0,21.0,36.0,35.0,17.0,23.0,18.0,28.0,19.0,22.0,26.0,25.0,10.0,18.0,31.0,26.0,8.0,26.0,24.0,27.0,8.0,27.0,12.0,33.0,27.0,25.0,10.0,37.0,24.0,27.0,27.0,21.0,7.0
퀘스트,139.0,76.0,86.0,76.0,58.0,31.0,47.0,50.0,51.0,56.0,43.0,41.0,34.0,47.0,57.0,9.0,34.0,21.0,27.0,24.0,24.0,27.0,33.0,43.0,15.0,32.0,12.0,22.0,14.0,40.0,20.0,1.0,36.0,44.0,25.0,24.0,24.0,29.0,27.0,26.0,5.0,21.0,28.0,0.0,18.0,23.0,9.0,42.0,21.0,27.0,15.0,18.0,33.0,16.0,19.0,27.0,7.0,11.0,27.0,13.0,21.0,22.0,29.0,28.0,20.0,18.0,1.0,19.0,19.0,29.0,18.0,5.0,16.0,18.0,20.0,31.0,5.0,23.0,17.0,9.0,7.0,15.0,15.0,4.0,14.0,23.0,16.0,2.0,21.0,21.0,18.0,15.0,8.0,13.0,19.0,14.0,14.0,18.0,15.0,16.0
과제,163.0,89.0,101.0,76.0,66.0,46.0,65.0,45.0,63.0,37.0,19.0,34.0,32.0,49.0,41.0,40.0,27.0,199.0,32.0,34.0,36.0,20.0,37.0,28.0,11.0,37.0,35.0,18.0,22.0,33.0,34.0,0.0,37.0,35.0,36.0,25.0,19.0,14.0,20.0,26.0,14.0,24.0,27.0,18.0,0.0,21.0,12.0,23.0,14.0,24.0,22.0,19.0,14.0,14.0,16.0,27.0,8.0,19.0,6.0,15.0,26.0,28.0,20.0,18.0,22.0,13.0,6.0,11.0,12.0,20.0,14.0,14.0,20.0,5.0,32.0,11.0,13.0,17.0,17.0,12.0,4.0,17.0,19.0,15.0,15.0,21.0,12.0,6.0,15.0,18.0,18.0,17.0,13.0,8.0,12.0,14.0,16.0,17.0,12.0,17.0
이상,194.0,127.0,118.0,98.0,73.0,55.0,71.0,78.0,89.0,59.0,42.0,56.0,46.0,64.0,61.0,25.0,43.0,29.0,38.0,33.0,63.0,32.0,66.0,30.0,31.0,51.0,29.0,27.0,32.0,45.0,27.0,3.0,56.0,55.0,35.0,42.0,28.0,43.0,44.0,40.0,18.0,37.0,46.0,23.0,21.0,0.0,15.0,33.0,25.0,38.0,29.0,23.0,24.0,26.0,32.0,35.0,11.0,28.0,17.0,25.0,23.0,45.0,39.0,28.0,28.0,31.0,5.0,22.0,22.0,28.0,39.0,13.0,32.0,19.0,25.0,29.0,15.0,32.0,23.0,26.0,14.0,21.0,26.0,10.0,24.0,22.0,19.0,13.0,27.0,27.0,29.0,25.0,19.0,14.0,26.0,23.0,21.0,27.0,32.0,17.0
소울,120.0,72.0,51.0,67.0,56.0,84.0,66.0,34.0,59.0,52.0,37.0,49.0,31.0,39.0,39.0,14.0,39.0,28.0,26.0,26.0,30.0,16.0,34.0,36.0,6.0,19.0,33.0,15.0,12.0,43.0,16.0,0.0,26.0,23.0,21.0,27.0,27.0,17.0,41.0,21.0,12.0,27.0,28.0,9.0,12.0,15.0,0.0,26.0,8.0,15.0,27.0,19.0,8.0,37.0,17.0,23.0,3.0,44.0,7.0,9.0,34.0,23.0,15.0,33.0,18.0,17.0,0.0,23.0,6.0,20.0,15.0,16.0,13.0,3.0,16.0,14.0,11.0,15.0,9.0,9.0,13.0,21.0,12.0,33.0,12.0,20.0,22.0,8.0,10.0,1.0,12.0,14.0,18.0,3.0,26.0,19.0,20.0,18.0,13.0,8.0
초반,197.0,116.0,106.0,112.0,73.0,61.0,75.0,60.0,75.0,71.0,62.0,63.0,53.0,68.0,59.0,18.0,49.0,31.0,44.0,43.0,45.0,43.0,67.0,42.0,18.0,54.0,19.0,25.0,28.0,52.0,32.0,0.0,46.0,63.0,38.0,46.0,25.0,48.0,41.0,48.0,8.0,40.0,35.0,42.0,23.0,33.0,26.0,0.0,18.0,24.0,29.0,35.0,36.0,23.0,36.0,38.0,12.0,33.0,27.0,30.0,41.0,44.0,36.0,41.0,27.0,29.0,6.0,22.0,20.0,32.0,26.0,16.0,37.0,24.0,28.0,33.0,12.0,37.0,29.0,14.0,17.0,29.0,20.0,19.0,23.0,28.0,23.0,7.0,39.0,21.0,29.0,23.0,19.0,16.0,33.0,24.0,31.0,31.0,33.0,17.0
