,게임,플레이,시간,생각,스토리,보스,난이도,사람,추천,느낌,무기,재미,아이템,진행,요소,퍼즐,공격,도전,캐릭터,스테이지,그래픽,업데이트,처음,전투,친구,시작,회차,한글,모드,단점,조작,발언,추가,필요,구매,사용,플레이어,부족,시스템,문제,전작,레벨,존재,퀘스트,과제,이상,소울,초반,멀티,가격,분위기,주인공,파밍,액션,선택,개인,공포,패턴,마을,중간,장점,평가,사실,기본,방식,기대,타워,탐험,번역,불편,수준,시리즈,반복,생존,마지막,장비,작품,이동,몰입,세일,마법,공략,배경,메트로,설정,마음,체력,Roguelike,다음,노가다,상황,개발자,디자인,나무,장르,점프,설명,이해,상태,할인
생존,119.0,52.0,43.0,46.0,19.0,8.0,17.0,41.0,41.0,30.0,24.0,31.0,16.0,23.0,29.0,3.0,11.0,5.0,11.0,17.0,24.0,19.0,25.0,20.0,9.0,29.0,2.0,12.0,9.0,19.0,12.0,0.0,11.0,30.0,16.0,15.0,15.0,17.0,14.0,20.0,2.0,15.0,18.0,18.0,5.0,19.0,3.0,24.0,16.0,13.0,8.0,8.0,27.0,5.0,13.0,12.0,7.0,4.0,12.0,4.0,11.0,11.0,20.0,10.0,19.0,13.0,1.0,20.0,6.0,8.0,8.0,2.0,13.0,0.0,5.0,16.0,8.0,13.0,15.0,3.0,3.0,6.0,11.0,1.0,10.0,7.0,8.0,2.0,13.0,19.0,11.0,9.0,3.0,12.0,15.0,9.0,11.0,9.0,11.0,8.0
마지막,141.0,90.0,96.0,87.0,77.0,64.0,58.0,56.0,69.0,49.0,30.0,43.0,35.0,45.0,35.0,19.0,37.0,46.0,34.0,37.0,39.0,30.0,51.0,27.0,15.0,41.0,23.0,12.0,21.0,40.0,40.0,0.0,37.0,38.0,22.0,26.0,27.0,22.0,26.0,31.0,19.0,25.0,28.0,20.0,32.0,25.0,16.0,28.0,12.0,18.0,26.0,34.0,13.0,20.0,24.0,27.0,7.0,29.0,16.0,19.0,34.0,27.0,34.0,28.0,26.0,28.0,7.0,10.0,16.0,30.0,22.0,11.0,18.0,5.0,0.0,7.0,20.0,22.0,17.0,13.0,10.0,25.0,22.0,9.0,18.0,27.0,16.0,9.0,25.0,7.0,22.0,20.0,12.0,9.0,21.0,19.0,19.0,23.0,25.0,14.0
장비,100.0,67.0,62.0,57.0,34.0,45.0,40.0,35.0,30.0,38.0,47.0,41.0,50.0,35.0,40.0,5.0,31.0,18.0,31.0,31.0,22.0,31.0,33.0,34.0,12.0,27.0,13.0,13.0,13.0,33.0,15.0,0.0,37.0,39.0,32.0,34.0,17.0,29.0,31.0,28.0,5.0,34.0,19.0,31.0,11.0,29.0,14.0,33.0,20.0,22.0,12.0,12.0,33.0,21.0,14.0,22.0,2.0,21.0,20.0,16.0,16.0,18.0,18.0,20.0,18.0,17.0,0.0,21.0,12.0,21.0,19.0,8.0,19.0,16.0,7.0,0.0,10.0,23.0,19.0,10.0,13.0,14.0,9.0,15.0,15.0,21.0,17.0,10.0,20.0,16.0,14.0,10.0,14.0,10.0,21.0,12.0,17.0,16.0,16.0,9.0
작품,101.0,67.0,57.0,57.0,61.0,31.0,52.0,29.0,36.0,39.0,18.0,40.0,14.0,34.0,35.0,28.0,24.0,26.0,31.0,20.0,46.0,17.0,19.0,30.0,6.0,17.0,11.0,16.0,13.0,34.0,29.0,1.0,20.0,30.0,24.0,29.0,23.0,17.0,25.0,27.0,28.0,12.0,22.0,5.0,13.0,15.0,11.0,12.0,7.0,25.0,25.0,28.0,6.0,24.0,23.0,28.0,8.0,10.0,10.0,13.0,23.0,18.0,18.0,19.0,17.0,24.0,11.0,11.0,10.0,13.0,20.0,37.0,11.0,8.0,20.0,10.0,0.0,11.0,17.0,6.0,7.0,10.0,23.0,10.0,14.0,18.0,10.0,6.0,20.0,4.0,18.0,14.0,12.0,5.0,21.0,10.0,8.0,14.0,12.0,7.0
이동,118.0,70.0,73.0,61.0,47.0,44.0,46.0,46.0,49.0,41.0,38.0,43.0,41.0,48.0,45.0,14.0,44.0,22.0,37.0,39.0,34.0,26.0,37.0,44.0,7.0,31.0,15.0,15.0,20.0,47.0,32.0,0.0,33.0,32.0,17.0,31.0,20.0,23.0,38.0,31.0,10.0,23.0,26.0,23.0,17.0,32.0,15.0,37.0,14.0,9.0,23.0,21.0,24.0,20.0,25.0,25.0,7.0,22.0,19.0,16.0,30.0,19.0,30.0,26.0,23.0,23.0,3.0,23.0,12.0,34.0,19.0,7.0,19.0,13.0,22.0,23.0,11.0,0.0,22.0,5.0,10.0,16.0,14.0,20.0,16.0,16.0,18.0,4.0,14.0,16.0,20.0,18.0,18.0,10.0,16.0,19.0,18.0,17.0,20.0,10.0
몰입,146.0,83.0,69.0,75.0,93.0,24.0,53.0,52.0,55.0,50.0,27.0,37.0,28.0,51.0,46.0,32.0,20.0,23.0,36.0,15.0,47.0,13.0,27.0,38.0,7.0,27.0,14.0,16.0,13.0,32.0,29.0,0.0,19.0,31.0,18.0,22.0,22.0,18.0,22.0,24.0,17.0,22.0,25.0,17.0,17.0,23.0,9.0,29.0,9.0,21.0,34.0,28.0,11.0,21.0,22.0,23.0,14.0,13.0,8.0,14.0,28.0,26.0,26.0,16.0,24.0,23.0,2.0,15.0,21.0,25.0,22.0,9.0,15.0,15.0,17.0,19.0,17.0,22.0,0.0,14.0,8.0,13.0,19.0,8.0,13.0,16.0,11.0,3.0,13.0,12.0,21.0,16.0,25.0,5.0,16.0,5.0,22.0,24.0,9.0,10.0
세일,104.0,77.0,65.0,46.0,45.0,18.0,45.0,28.0,55.0,23.0,17.0,27.0,13.0,22.0,20.0,22.0,12.0,14.0,21.0,10.0,37.0,16.0,21.0,8.0,15.0,17.0,13.0,19.0,13.0,12.0,19.0,0.0,13.0,23.0,38.0,16.0,10.0,16.0,8.0,14.0,12.0,12.0,10.0,9.0,12.0,26.0,9.0,14.0,17.0,43.0,14.0,11.0,7.0,8.0,10.0,20.0,10.0,7.0,4.0,10.0,13.0,14.0,14.0,11.0,10.0,13.0,2.0,7.0,12.0,13.0,18.0,10.0,14.0,3.0,13.0,10.0,6.0,5.0,14.0,0.0,3.0,5.0,7.0,3.0,8.0,9.0,7.0,5.0,7.0,6.0,6.0,7.0,9.0,2.0,9.0,4.0,5.0,12.0,9.0,6.0
마법,65.0,39.0,30.0,33.0,17.0,34.0,26.0,15.0,28.0,23.0,29.0,30.0,21.0,22.0,27.0,8.0,30.0,11.0,18.0,21.0,11.0,13.0,13.0,23.0,6.0,17.0,6.0,8.0,13.0,22.0,9.0,0.0,19.0,18.0,8.0,26.0,13.0,19.0,19.0,14.0,8.0,18.0,18.0,7.0,4.0,14.0,13.0,17.0,11.0,9.0,5.0,9.0,8.0,11.0,13.0,12.0,0.0,17.0,10.0,8.0,18.0,13.0,15.0,20.0,9.0,8.0,6.0,9.0,3.0,11.0,13.0,6.0,8.0,3.0,10.0,13.0,7.0,10.0,8.0,3.0,0.0,12.0,3.0,9.0,7.0,7.0,17.0,11.0,11.0,2.0,9.0,10.0,7.0,3.0,11.0,8.0,11.0,9.0,8.0,2.0
공략,111.0,67.0,64.0,61.0,48.0,48.0,54.0,40.0,52.0,35.0,24.0,37.0,30.0,45.0,34.0,16.0,30.0,29.0,21.0,26.0,25.0,22.0,35.0,27.0,15.0,31.0,21.0,18.0,23.0,31.0,23.0,0.0,24.0,27.0,10.0,28.0,22.0,21.0,24.0,27.0,6.0,21.0,31.0,15.0,17.0,21.0,21.0,29.0,9.0,12.0,17.0,25.0,9.0,19.0,16.0,23.0,9.0,28.0,11.0,19.0,23.0,21.0,20.0,18.0,20.0,23.0,5.0,16.0,10.0,18.0,14.0,14.0,15.0,6.0,25.0,14.0,10.0,16.0,13.0,5.0,12.0,0.0,11.0,12.0,15.0,20.0,13.0,3.0,14.0,7.0,14.0,19.0,15.0,7.0,24.0,21.0,21.0,20.0,16.0,10.0
배경,143.0,78.0,62.0,78.0,77.0,31.0,56.0,48.0,44.0,52.0,18.0,44.0,21.0,44.0,43.0,40.0,22.0,28.0,42.0,25.0,55.0,18.0,32.0,24.0,12.0,28.0,7.0,20.0,15.0,35.0,41.0,2.0,16.0,24.0,20.0,24.0,32.0,18.0,24.0,29.0,17.0,12.0,26.0,15.0,19.0,26.0,12.0,20.0,6.0,15.0,39.0,33.0,13.0,22.0,21.0,26.0,15.0,10.0,13.0,10.0,27.0,9.0,29.0,22.0,28.0,15.0,7.0,17.0,8.0,17.0,30.0,14.0,18.0,11.0,22.0,9.0,23.0,14.0,19.0,7.0,3.0,11.0,0.0,10.0,18.0,20.0,11.0,1.0,20.0,6.0,22.0,12.0,17.0,7.0,12.0,12.0,16.0,22.0,10.0,11.0
메트로,105.0,54.0,38.0,53.0,32.0,58.0,58.0,27.0,58.0,36.0,33.0,34.0,25.0,27.0,32.0,13.0,24.0,25.0,21.0,15.0,23.0,6.0,15.0,30.0,1.0,19.0,19.0,8.0,3.0,28.0,19.0,0.0,16.0,19.0,17.0,20.0,9.0,9.0,27.0,9.0,21.0,21.0,8.0,4.0,15.0,10.0,33.0,19.0,1.0,14.0,21.0,15.0,9.0,22.0,6.0,16.0,1.0,21.0,4.0,8.0,20.0,14.0,9.0,20.0,13.0,11.0,0.0,22.0,9.0,18.0,12.0,19.0,7.0,1.0,9.0,15.0,10.0,20.0,8.0,3.0,9.0,12.0,10.0,0.0,7.0,12.0,10.0,5.0,7.0,4.0,10.0,9.0,18.0,2.0,22.0,13.0,12.0,15.0,12.0,9.0
설정,124.0,77.0,64.0,66.0,51.0,35.0,52.0,47.0,51.0,38.0,21.0,28.0,26.0,39.0,34.0,19.0,23.0,26.0,30.0,14.0,36.0,25.0,36.0,16.0,17.0,40.0,15.0,22.0,24.0,29.0,30.0,2.0,31.0,27.0,22.0,26.0,30.0,18.0,23.0,33.0,12.0,19.0,26.0,14.0,15.0,24.0,12.0,23.0,19.0,16.0,23.0,22.0,12.0,17.0,18.0,20.0,14.0,19.0,10.0,19.0,24.0,18.0,23.0,26.0,15.0,23.0,0.0,11.0,13.0,27.0,18.0,12.0,15.0,10.0,18.0,15.0,14.0,16.0,13.0,8.0,7.0,15.0,18.0,7.0,0.0,19.0,14.0,4.0,22.0,13.0,19.0,15.0,14.0,13.0,15.0,16.0,20.0,17.0,22.0,13.0
마음,154.0,93.0,78.0,88.0,72.0,49.0,58.0,63.0,63.0,52.0,29.0,36.0,34.0,45.0,46.0,25.0,39.0,28.0,38.0,25.0,43.0,31.0,36.0,33.0,11.0,31.0,24.0,22.0,22.0,38.0,30.0,2.0,32.0,33.0,26.0,28.0,35.0,25.0,38.0,34.0,17.0,18.0,24.0,23.0,21.0,22.0,20.0,28.0,10.0,19.0,36.0,24.0,17.0,16.0,24.0,41.0,11.0,17.0,15.0,17.0,30.0,24.0,28.0,27.0,23.0,29.0,3.0,20.0,14.0,20.0,22.0,16.0,15.0,7.0,27.0,21.0,18.0,16.0,16.0,9.0,7.0,20.0,20.0,12.0,19.0,0.0,17.0,6.0,19.0,6.0,24.0,22.0,19.0,5.0,19.0,12.0,20.0,24.0,18.0,9.0
체력,86.0,56.0,51.0,53.0,35.0,54.0,44.0,27.0,41.0,35.0,40.0,24.0,40.0,31.0,32.0,12.0,48.0,25.0,30.0,29.0,18.0,16.0,34.0,36.0,9.0,25.0,16.0,13.0,15.0,31.0,14.0,0.0,25.0,33.0,20.0,39.0,25.0,25.0,30.0,23.0,12.0,30.0,27.0,16.0,12.0,19.0,22.0,23.0,9.0,15.0,18.0,12.0,10.0,25.0,21.0,16.0,2.0,34.0,10.0,15.0,21.0,18.0,26.0,33.0,16.0,15.0,1.0,15.0,6.0,22.0,15.0,7.0,17.0,8.0,16.0,17.0,10.0,18.0,11.0,7.0,17.0,13.0,11.0,10.0,14.0,17.0,0.0,11.0,13.0,7.0,18.0,17.0,17.0,8.0,12.0,14.0,15.0,9.0,20.0,9.0
Roguelike,72.0,46.0,33.0,33.0,16.0,32.0,40.0,22.0,33.0,26.0,27.0,25.0,24.0,10.0,24.0,2.0,24.0,13.0,21.0,8.0,15.0,21.0,24.0,10.0,6.0,19.0,10.0,5.0,10.0,15.0,6.0,0.0,20.0,15.0,11.0,16.0,10.0,20.0,17.0,10.0,5.0,13.0,8.0,2.0,6.0,13.0,8.0,7.0,10.0,14.0,5.0,7.0,12.0,16.0,7.0,11.0,1.0,11.0,3.0,8.0,10.0,12.0,13.0,15.0,11.0,9.0,0.0,7.0,7.0,3.0,7.0,0.0,15.0,2.0,9.0,10.0,6.0,4.0,3.0,5.0,11.0,3.0,1.0,5.0,4.0,6.0,11.0,0.0,9.0,7.0,7.0,9.0,8.0,2.0,12.0,5.0,9.0,5.0,9.0,5.0
다음,130.0,77.0,79.0,73.0,50.0,44.0,46.0,54.0,49.0,49.0,27.0,34.0,38.0,42.0,42.0,15.0,30.0,26.0,32.0,41.0,30.0,32.0,49.0,23.0,21.0,42.0,8.0,17.0,15.0,25.0,31.0,2.0,24.0,29.0,20.0,27.0,28.0,26.0,31.0,25.0,16.0,28.0,27.0,21.0,15.0,27.0,10.0,39.0,12.0,21.0,16.0,23.0,16.0,23.0,26.0,23.0,6.0,18.0,18.0,12.0,19.0,26.0,30.0,28.0,18.0,37.0,4.0,11.0,12.0,21.0,22.0,16.0,19.0,13.0,25.0,20.0,20.0,14.0,13.0,7.0,11.0,14.0,20.0,7.0,22.0,19.0,13.0,9.0,0.0,12.0,23.0,18.0,13.0,12.0,15.0,17.0,22.0,20.0,25.0,9.0
노가다,100.0,50.0,59.0,41.0,25.0,22.0,27.0,34.0,34.0,29.0,18.0,36.0,25.0,30.0,32.0,5.0,11.0,24.0,19.0,14.0,17.0,18.0,22.0,21.0,9.0,25.0,9.0,12.0,8.0,15.0,7.0,1.0,20.0,34.0,16.0,14.0,10.0,14.0,14.0,23.0,5.0,22.0,12.0,21.0,18.0,27.0,1.0,21.0,9.0,22.0,6.0,5.0,25.0,6.0,11.0,13.0,2.0,6.0,13.0,8.0,13.0,11.0,16.0,13.0,11.0,14.0,4.0,13.0,11.0,19.0,12.0,4.0,16.0,19.0,7.0,16.0,4.0,16.0,12.0,6.0,2.0,7.0,6.0,4.0,13.0,6.0,7.0,7.0,12.0,0.0,10.0,10.0,8.0,11.0,11.0,5.0,9.0,11.0,8.0,11.0
상황,141.0,87.0,75.0,83.0,61.0,40.0,53.0,61.0,57.0,56.0,29.0,43.0,31.0,54.0,47.0,35.0,30.0,30.0,40.0,24.0,43.0,25.0,42.0,29.0,8.0,45.0,22.0,16.0,20.0,38.0,30.0,1.0,30.0,38.0,20.0,32.0,35.0,31.0,30.0,39.0,14.0,27.0,33.0,18.0,18.0,29.0,12.0,29.0,10.0,16.0,33.0,29.0,10.0,31.0,33.0,35.0,13.0,21.0,16.0,18.0,31.0,33.0,26.0,31.0,30.0,22.0,2.0,15.0,10.0,27.0,28.0,12.0,21.0,11.0,22.0,14.0,18.0,20.0,21.0,6.0,9.0,14.0,22.0,10.0,19.0,24.0,18.0,7.0,23.0,10.0,0.0,27.0,25.0,9.0,17.0,12.0,23.0,19.0,27.0,10.0
개발자,134.0,72.0,63.0,73.0,43.0,29.0,51.0,48.0,50.0,39.0,30.0,36.0,32.0,36.0,43.0,17.0,24.0,24.0,31.0,24.0,35.0,35.0,31.0,20.0,10.0,37.0,15.0,26.0,16.0,26.0,18.0,3.0,23.0,28.0,20.0,24.0,25.0,28.0,23.0,23.0,10.0,27.0,27.0,15.0,17.0,25.0,14.0,23.0,13.0,22.0,17.0,14.0,13.0,15.0,25.0,28.0,6.0,14.0,11.0,16.0,26.0,24.0,22.0,19.0,17.0,32.0,2.0,13.0,16.0,19.0,22.0,7.0,18.0,9.0,20.0,10.0,14.0,18.0,16.0,7.0,10.0,19.0,12.0,9.0,15.0,22.0,17.0,9.0,18.0,10.0,27.0,0.0,22.0,5.0,13.0,10.0,15.0,14.0,14.0,16.0
디자인,125.0,79.0,61.0,64.0,63.0,50.0,60.0,38.0,51.0,51.0,30.0,41.0,32.0,43.0,46.0,40.0,28.0,23.0,38.0,29.0,43.0,19.0,31.0,31.0,8.0,27.0,17.0,17.0,16.0,37.0,28.0,0.0,21.0,29.0,17.0,31.0,23.0,28.0,25.0,34.0,14.0,63.0,25.0,8.0,13.0,19.0,18.0,19.0,12.0,14.0,32.0,20.0,12.0,33.0,21.0,24.0,11.0,27.0,10.0,15.0,25.0,24.0,24.0,22.0,26.0,27.0,2.0,18.0,13.0,25.0,25.0,13.0,16.0,3.0,12.0,14.0,12.0,18.0,25.0,9.0,7.0,15.0,17.0,18.0,14.0,19.0,17.0,8.0,13.0,8.0,25.0,22.0,0.0,6.0,22.0,14.0,22.0,19.0,10.0,10.0
나무,47.0,30.0,29.0,25.0,17.0,13.0,13.0,21.0,24.0,9.0,18.0,17.0,16.0,17.0,17.0,3.0,18.0,9.0,12.0,9.0,10.0,16.0,15.0,12.0,7.0,26.0,3.0,7.0,7.0,13.0,9.0,0.0,18.0,21.0,6.0,12.0,12.0,12.0,13.0,14.0,2.0,14.0,10.0,13.0,8.0,14.0,3.0,16.0,3.0,7.0,9.0,9.0,17.0,3.0,9.0,9.0,2.0,8.0,13.0,5.0,8.0,9.0,12.0,11.0,11.0,11.0,0.0,10.0,5.0,12.0,8.0,3.0,9.0,12.0,9.0,10.0,5.0,10.0,5.0,2.0,3.0,7.0,7.0,2.0,13.0,5.0,8.0,2.0,12.0,11.0,9.0,5.0,6.0,0.0,8.0,6.0,5.0,5.0,8.0,3.0
장르,135.0,77.0,71.0,74.0,57.0,44.0,56.0,45.0,52.0,54.0,34.0,59.0,34.0,47.0,44.0,22.0,25.0,22.0,30.0,23.0,44.0,22.0,34.0,20.0,7.0,32.0,18.0,16.0,19.0,44.0,27.0,1.0,24.0,32.0,20.0,32.0,26.0,26.0,28.0,30.0,11.0,29.0,37.0,19.0,12.0,26.0,26.0,33.0,14.0,28.0,30.0,17.0,18.0,26.0,27.0,26.0,5.0,18.0,9.0,12.0,36.0,30.0,24.0,27.0,24.0,14.0,7.0,20.0,12.0,26.0,17.0,24.0,17.0,15.0,21.0,21.0,21.0,16.0,16.0,9.0,11.0,24.0,12.0,22.0,15.0,19.0,12.0,12.0,15.0,11.0,17.0,13.0,22.0,8.0,0.0,16.0,21.0,28.0,14.0,6.0
점프,80.0,50.0,48.0,45.0,32.0,46.0,43.0,31.0,41.0,32.0,24.0,27.0,32.0,29.0,33.0,13.0,34.0,19.0,24.0,23.0,27.0,16.0,26.0,24.0,11.0,25.0,16.0,12.0,13.0,30.0,35.0,0.0,24.0,21.0,15.0,24.0,21.0,20.0,24.0,23.0,6.0,19.0,24.0,14.0,14.0,23.0,19.0,24.0,9.0,18.0,21.0,18.0,6.0,14.0,14.0,19.0,4.0,22.0,12.0,11.0,23.0,20.0,19.0,21.0,15.0,13.0,2.0,14.0,9.0,19.0,14.0,9.0,16.0,9.0,19.0,12.0,10.0,19.0,5.0,4.0,8.0,21.0,12.0,13.0,16.0,12.0,14.0,5.0,17.0,5.0,12.0,10.0,14.0,6.0,16.0,0.0,14.0,14.0,16.0,11.0
설명,129.0,78.0,66.0,76.0,58.0,45.0,49.0,49.0,51.0,50.0,33.0,38.0,44.0,53.0,40.0,26.0,28.0,24.0,30.0,29.0,29.0,22.0,47.0,24.0,13.0,36.0,18.0,21.0,19.0,38.0,34.0,1.0,33.0,36.0,21.0,27.0,31.0,40.0,24.0,28.0,11.0,25.0,27.0,14.0,16.0,21.0,20.0,31.0,14.0,15.0,24.0,18.0,11.0,29.0,18.0,24.0,10.0,21.0,11.0,23.0,28.0,32.0,21.0,29.0,26.0,18.0,4.0,14.0,14.0,24.0,20.0,7.0,17.0,11.0,19.0,17.0,8.0,18.0,22.0,5.0,11.0,21.0,16.0,12.0,20.0,20.0,15.0,9.0,22.0,9.0,23.0,15.0,22.0,5.0,21.0,14.0,0.0,23.0,20.0,5.0
이해,141.0,80.0,76.0,82.0,92.0,51.0,57.0,60.0,64.0,48.0,28.0,40.0,28.0,47.0,40.0,44.0,30.0,27.0,26.0,27.0,39.0,22.0,40.0,29.0,14.0,34.0,24.0,23.0,10.0,38.0,24.0,2.0,18.0,28.0,16.0,24.0,24.0,24.0,20.0,30.0,19.0,19.0,27.0,18.0,17.0,27.0,18.0,31.0,13.0,30.0,22.0,35.0,11.0,29.0,19.0,33.0,10.0,23.0,10.0,19.0,29.0,25.0,32.0,25.0,16.0,19.0,2.0,15.0,27.0,20.0,35.0,11.0,20.0,9.0,23.0,16.0,14.0,17.0,24.0,12.0,9.0,20.0,22.0,15.0,17.0,24.0,9.0,5.0,20.0,11.0,19.0,14.0,19.0,5.0,28.0,14.0,23.0,0.0,15.0,12.0
상태,104.0,67.0,64.0,71.0,41.0,32.0,41.0,45.0,50.0,48.0,40.0,32.0,41.0,38.0,34.0,11.0,38.0,21.0,35.0,23.0,26.0,25.0,35.0,28.0,15.0,38.0,11.0,21.0,20.0,31.0,20.0,0.0,30.0,33.0,27.0,32.0,17.0,25.0,27.0,36.0,8.0,24.0,21.0,15.0,12.0,32.0,13.0,33.0,13.0,13.0,14.0,19.0,18.0,15.0,22.0,27.0,5.0,18.0,17.0,10.0,25.0,23.0,26.0,28.0,20.0,23.0,3.0,10.0,24.0,20.0,19.0,12.0,18.0,11.0,25.0,16.0,12.0,20.0,9.0,9.0,8.0,16.0,10.0,12.0,22.0,18.0,20.0,9.0,25.0,8.0,27.0,14.0,10.0,8.0,14.0,16.0,20.0,15.0,0.0,10.0
할인,109.0,62.0,68.0,52.0,48.0,27.0,36.0,34.0,53.0,37.0,17.0,25.0,19.0,28.0,29.0,23.0,17.0,23.0,15.0,11.0,27.0,18.0,27.0,17.0,4.0,23.0,13.0,23.0,11.0,23.0,18.0,0.0,24.0,22.0,45.0,9.0,8.0,14.0,14.0,18.0,7.0,12.0,7.0,16.0,17.0,17.0,8.0,17.0,10.0,41.0,16.0,11.0,12.0,10.0,10.0,18.0,14.0,12.0,4.0,10.0,16.0,13.0,16.0,12.0,16.0,12.0,3.0,7.0,11.0,9.0,13.0,8.0,15.0,8.0,14.0,9.0,7.0,10.0,10.0,6.0,2.0,10.0,11.0,9.0,13.0,9.0,9.0,5.0,9.0,11.0,10.0,16.0,10.0,3.0,6.0,11.0,5.0,12.0,10.0,0.0
